目标要求,当前状态,权威证据,当前数量/结果,缺口或边界,下一步
保留不同方法和阶段的版本名称,当前 MuJoCo 阶段已完成,docs/experiment_versions.json；docs/version_lineage_index.html；docs/version_naming_and_gate_spec.md；outputs/evaluations/version_naming_and_gate_spec_v1.json；docs/final_artifact_manifest.json,25 个正式方法；manifest 登记 25 个方法；版本谱系索引 46 条；version_naming_and_gate_spec_v1 规则 8 条,后续 OpenVLA、Isaac、真实机械臂方法还未登记为完成版本,新增方法时先写 version、stage、artifact、clip，再补评测和视频
能够按方法和阶段进行说明,当前 MuJoCo 阶段已完成,docs/method_stage_audit.md；docs/stage_comparison_report.md；docs/research_evidence_map.md,12 个阶段分组；覆盖 scripted、BC、trajectory/ACT、Diffusion、action-head、PEFT/VLM proxy,真实 VLA/Isaac/真实机器人阶段只能作为计划或未完成边界,真实 VLA 接入后沿用阶段字段追加到 stage comparison
能够做评测比较,当前 MuJoCo 阶段已完成,docs/core_v2_holdout_comparison_matrix.md；docs/core_task_comparison_matrix.md；docs/evaluation_summary.csv；docs/language_generalization_summary.csv；docs/model_resource_summary.csv；docs/data_efficiency_summary.csv；docs/domain_randomization_summary.csv；docs/method_comparison_dashboard.html,Core V2 留出矩阵 28 行；历史核心矩阵 24 行；主任务 25 行；语言/空间 22 行；资源 25 行；数据效率 24 行；domain randomization 18 行,数据效率仍是快速扫表；真实机器人没有成功率表,真实机器人阶段复用 success_rate、target_distance、train_time、peak_vram 字段
能够展示仿真视频片段,当前 MuJoCo 阶段已完成,docs/video_evidence_index.md；docs/video_presentation_storyboard.md；docs/thesis_visual_evidence_index.html；docs/defense_qa_playbook.html；docs/presentation_video_pack.md；outputs/videos；outputs/showcase；outputs/presentation_clips,74 条视频证据，其中候选诊断片段 22 条；25 个单方法视频；8 个答辩视频包项目；论文图表与视频证据索引 23 条；答辩追问 Q&A 14 条；已加入 60 秒总览 reel、6 个阶段短片、视频展示讲稿与低摩擦 domain randomization 对比视频,真实机械臂视频尚未采集；Isaac 视频尚未采集,新阶段必须同时保存 mp4、json 元数据、证据用途、讲稿提示和论文红线
每次运行具有可视化 viewer 命令,当前 MuJoCo 阶段已完成,docs/reproducible_command_index.md,25 条主任务 viewer 命令；22 条语言/空间 viewer 命令；统一慢速 --duration 60 --speed 0.05,真实机械臂可视化需要相机录制或独立 GUI，不由 MuJoCo viewer 证明,真实机械臂阶段补充相机视角、任务日志和回放索引
trajectory-conditioned BC / ACT 作为可靠对照组,当前 MuJoCo 阶段已完成，但策略效果不稳定,docs/evaluation_summary.csv；docs/model_resource_summary.csv；docs/stage_comparison_report.md；docs/trajectory_act_experiment_record.md；docs/video_evidence_index.md,trajectory_conditioned_chunk_bc_v2；trajectory_knn_chunk_bc_v1；torch_act_state_chunk_v1；torch_act_state_chunk_cuda_v1；phase_conditioned_torch_act_v1；torch_act_cvae_state_chunk_v1；visual_feature_act_lite_v1；visual_act_cnn_cvae_v1,不能写成完整官方 ACT 或完整视觉 ACT；当前是 state-only/pooled visual feature 的轻量 baseline,若继续补强 ACT，应优先做更真实视觉 encoder、更多示范多样性和夹爪接触稳定性
轻量 VLA 后训练路线有可比较代理实验,当前 MuJoCo 阶段已完成；真实 OpenVLA/机器人 VLA 后训练不属于当前完成条件,docs/model_resource_summary.csv；docs/language_generalization_summary.csv；docs/research_evidence_map.md；docs/openvla_dataset_bridge_report.md；docs/openvla_feasibility_report.md；docs/robot_vla_action_head_handoff.md；docs/robot_vla_remote_run_pack.md；docs/robot_vla_remote_result_intake.md；docs/external_dependency_readiness_audit.md,object_language_action_head_lite_v1；reward_weighted_action_head_lite_v1；phase_conditioned_action_head_lite_v1；adapter_action_head_lite_v1；lora_action_head_lite_v1；vision_language_action_head_lite_v1；clip_action_head_lite_v1；multi_task_object_action_head_lite_v1；openvla_dataset_bridge_v1 样本 72 条；openvla_feasibility_check_v1 已完成；robot_vla_action_head_handoff_v1 已完成；robot_vla_remote_run_pack_v1 已完成，包内文件 2697 个；robot_vla_remote_result_intake_v1 已完成，当前远端返回文件 0 个,不能宣称 OpenVLA LoRA、RT-2 或真实 pretrained VLA 后训练已经完成；bridge/feasibility/handoff/remote pack/intake 只是历史扩展模板,当前范围无需执行；未来扩展到远端 GPU 时再按 remote run pack、handoff 和 intake 契约回填
外部依赖阶段 readiness 门禁,当前范围外（保留为历史交接模板）,docs/external_dependency_readiness_audit.md；docs/external_dependency_readiness_audit.csv；outputs/evaluations/external_dependency_readiness_audit_v1.json；docs/remaining_experiment_execution_board.md；docs/next_experiment_registry.md；docs/final_artifact_manifest.json,external_dependency_readiness_audit_v1 行数 32；supporting_evidence_ready 26；waiting_remote_result 1；waiting_robot_vla_action_head 2；waiting_isaac_runtime 1；waiting_real_robot_trials 1；formal_method_allowed_now 全部为否,readiness audit 不是策略成功率结果，只说明历史 planned 外部阶段的阻塞条件、回填工件和论文边界；不能把它写成 OpenVLA/Isaac/真实 WidowX 已完成,当前 MuJoCo-only 范围无需执行；保留记录以防未来扩展
实验记录尽量中文化并可追溯,当前 MuJoCo 阶段已完成,docs/experiment_log.md；docs/trajectory_act_experiment_record.md；docs/defense_live_runbook.md；docs/final_defense_narrative_script.md；scripts/verify_experiment_artifacts.py,中文实验日志、研究问题映射、阶段报告、trajectory/ACT 中文台账、答辩现场 Runbook、最终答辩讲解脚本、视频索引和总清单均纳入清洁检查；manifest 中 defense_live_runbook_rows=10，final_defense_narrative_rows=10，trajectory_act_record_rows=9,PowerShell 终端可能显示 mojibake，但文件本身为 UTF-8,后续仍用 UTF-8 写文档，必要时用 Python 按 utf-8-sig 读取验证
答辩证据包归档可复制可验证,当前 MuJoCo 阶段已完成,docs/defense_evidence_pack.md；outputs/defense_evidence_pack/defense_evidence_pack_v1；outputs/defense_evidence_pack/defense_evidence_pack_v1.zip；outputs/evaluations/defense_evidence_pack_v1.json；scripts/build_defense_evidence_pack.py,defense_evidence_pack_v1 已生成；包内文件 697 个；zip 路径 outputs/defense_evidence_pack/defense_evidence_pack_v1.zip；final manifest 记录文件数 697 个,证据包只归档当前 MuJoCo 实验材料，不能写成真实 OpenVLA、Isaac 或真实 WidowX 已完成,新增真实 VLA/Isaac/真实机械臂结果后，重新运行 build_defense_evidence_pack.py 并更新 final manifest
