版本,阶段,阶段分组,方法,方法性质,训练方式,主任务训练范围,主任务留出范围,语言/空间泛化,可训练参数,训练时间秒,峰值显存MB,artifact,固定视频,视频证据数量,论文可写结论,论文红线
expert_scripted_v1,scripted_oracle,环境与示范,Scripted Expert,规则 oracle,不训练,20/20,5/5,4/5,0,,,scripts/run_expert.py,outputs/videos/expert_scripted_v1_seed0.mp4,1,可作为任务可行性和示范生成上界,不能写成 learned policy 或 VLA 泛化能力
structured_waypoint_policy_v1,structured_control_baseline,结构化控制强基线,Structured Waypoint Policy,显式状态控制,不训练或仅保存参数,5/5,4/5,4/5,0,,,outputs/structured_waypoint_policy/structured_waypoint_policy_20260720_065456.npz,outputs/videos/structured_waypoint_policy_v1_seed0.mp4,2,可作为任务可解性和阶段化控制上界,不能写成 learned VLA 或语言泛化模型
replay_demo_v1,data_verification,数据验证,Replay,轨迹回放,不训练,replay_success=True,not_applicable,未评测,0,,,data/demos/place_blue_cube_blue_pad_medium_20260702_051752/episodes/episode_000000_seed_0.npz,outputs/videos/replay_demo_v1_seed0.mp4,1,可证明保存的动作轨迹能复现 MuJoCo 执行过程,不能作为策略学习方法对比
linear_bc_v1,weak_bc_baseline,普通模仿学习,Linear BC,线性 BC,单步 MSE 行为克隆,0/5,0/5,0/5,1015,,,outputs/bc/bc_linear_20260702_051909.npz,outputs/videos/linear_bc_v1_seed0.mp4,1,可作为最弱普通 BC 对照,不能用离线 MSE 替代闭环成功率
knn_bc_v1,non_neural_baseline,普通模仿学习,kNN BC,非参数 kNN,示范样本检索,5/5,1/5,0/5,0,,,outputs/knn_bc/knn_bc_20260702_051907.npz,outputs/videos/knn_bc_v1_seed0.mp4,1,可说明训练范围记忆效果,训练范围成功不能写成泛化能力
mlp_bc_v1,neural_bc_baseline,普通模仿学习,MLP BC,MLP BC,单步 MSE 行为克隆,0/5,1/5,0/5,104711,,,outputs/mlp_bc/mlp_bc_20260702_053322.npz,outputs/videos/mlp_bc_v1_seed0.mp4,1,可作为标准神经网络 BC 对照,不能写成序列策略或 VLA
act_lite_chunk_bc_v1,trajectory_conditioned_baseline,动作块 / 轨迹条件,Action-Chunk BC / ACT-lite,ACT-lite 动作块,历史窗口到动作块的监督学习,0/5,0/5,0/5,117304,,,outputs/chunk_bc/chunk_bc_20260702_072710.npz,outputs/videos/act_lite_chunk_bc_v1_seed0.mp4,1,可作为 trajectory-conditioned / ACT-like baseline,不能写成完整 ACT
diffusion_policy_lite_v1,diffusion_policy_baseline,Diffusion Policy,Diffusion Policy-lite,NumPy DDPM-lite,扩散式动作块代理训练,0/5,0/5,0/5,132408,,,outputs/diffusion_policy/diffusion_policy_lite_20260720_042215.npz,outputs/videos/diffusion_policy_lite_v1_seed0.mp4,1,可作为 diffusion action-chunk 思路的轻量对照,不能写成完整官方 Diffusion Policy
torch_diffusion_policy_state_chunk_v1,torch_diffusion_policy_baseline,Diffusion Policy,PyTorch State Diffusion Policy,PyTorch state diffusion,Transformer 条件去噪动作块,0/5,0/5,0/5,183111,10.262407499998517,72.12744140625,outputs/torch_diffusion_policy/torch_diffusion_policy_state_chunk_20260720_101928.pt,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.mp4,2,可作为 state-only PyTorch Diffusion Policy baseline,不能写成完整视觉 Diffusion Policy
trajectory_conditioned_chunk_bc_v2,trajectory_conditioned_baseline,动作块 / 轨迹条件,Trajectory-Conditioned Action-Chunk BC / ACT-lite v2,ACT-lite 动作块,历史窗口到动作块的监督学习,0/5,0/5,0/5,375352,,,outputs/chunk_bc/trajectory_chunk_bc_20260720_043500.npz,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.mp4,1,可作为 trajectory-conditioned / ACT-like baseline,不能写成完整 ACT
trajectory_knn_chunk_bc_v1,trajectory_memory_baseline,动作块 / 轨迹条件,Trajectory-kNN Action-Chunk BC,轨迹窗口 kNN,历史轨迹检索,5/5,0/5,0/5,0,,,outputs/trajectory_knn_bc/trajectory_knn_chunk_bc_20260720_053423.npz,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.mp4,1,可说明动作块记忆与泛化差距,训练范围成功不能写成策略泛化
torch_act_state_chunk_v1,torch_act_baseline,ACT-style,PyTorch State Transformer ACT,PyTorch Transformer ACT-style,Transformer 动作块监督学习,1/5,0/5,0/5,178183,38.46301059999678,0,outputs/torch_act/torch_act_state_chunk_20260720_055409.pt,outputs/videos/torch_act_state_chunk_v1_seed0.mp4,1,可作为更接近 ACT 的 state-only baseline,不能写成完整视觉 ACT
torch_act_state_chunk_cuda_v1,torch_act_baseline,ACT-style,PyTorch State Transformer ACT CUDA,PyTorch Transformer ACT-style,Transformer 动作块监督学习,0/5,1/5,0/5,178183,17.458892599999672,71.27001953125,outputs/torch_act/torch_act_state_chunk_cuda_20260720_095442.pt,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.mp4,2,可作为更接近 ACT 的 state-only baseline,不能写成完整视觉 ACT
phase_conditioned_torch_act_v1,torch_act_baseline,ACT-style,Phase-Conditioned PyTorch State ACT,PyTorch Transformer ACT-style,Transformer 动作块监督学习,0/5,0/5,未评测,178503,12.979319299993222,71.3134765625,outputs/torch_act/phase_conditioned_torch_act_20260720_132228.pt,outputs/videos/phase_conditioned_torch_act_v1_seed0.mp4,1,可作为更接近 ACT 的 state-only baseline,不能写成完整视觉 ACT
torch_act_cvae_state_chunk_v1,torch_act_cvae_baseline,ACT-style,PyTorch State ACT-CVAE-lite,ACT-CVAE-lite,Transformer + CVAE latent 动作块监督学习,0/5,0/5,0/5,198375,37.49063409999508,0,outputs/torch_act_cvae/torch_act_cvae_state_chunk_20260720_084842.pt,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.mp4,2,可说明加入 CVAE latent 后的资源和闭环效果,不能写成完整视觉 ACT 或机器人 ACT 复现
visual_feature_act_lite_v1,visual_feature_act_baseline,ACT-style,Visual-Feature ACT-lite,视觉特征 ACT-lite,视觉代理特征 + Transformer 动作块,0/5,0/5,0/5,186247,307.56765961647034,0,outputs/visual_feature_act/visual_feature_act_lite_20260720_091256.pt,outputs/videos/visual_feature_act_lite_v1_seed0.mp4,2,可作为视觉代理输入的 ACT-lite 对照,不能写成端到端 CNN/Transformer 视觉 ACT
visual_act_cnn_cvae_v1,visual_act_cnn_cvae_baseline,ACT-style,Visual ACT-CNN-CVAE-lite,CNN visual ACT-CVAE-lite,CNN 视觉编码 + Transformer ACT-CVAE 动作块,0/5,0/5,未评测,219335,17.118782899997314,110.6494140625,outputs/visual_act_cnn_cvae/visual_act_cnn_cvae_20260720_115104.pt,outputs/videos/visual_act_cnn_cvae_v1_seed0.mp4,1,可作为更接近完整视觉 ACT 的本地轻量对照,不能写成官方完整 ACT 或真实机器人视觉 ACT 复现
object_language_action_head_lite_v1,vla_action_head_proxy,VLA/action-head 代理,Object-Language Action Head-lite,轻量 action head,冻结特征 + MLP action head,1/5,0/5,0/5,106759,,,outputs/object_action_head/object_action_head_lite_20260720_044703.npz,outputs/videos/object_language_action_head_lite_v1_seed0.mp4,2,可作为本地 VLA action-head proxy,不能写成 pretrained VLA 后训练
reward_weighted_action_head_lite_v1,reward_weighted_bc_post_training,轻量后训练代理,Reward-Weighted Action Head-lite,reward-weighted BC,按 attempt 偏好和 dense reward 加权,0/5,0/5,0/5,106759,45.874674797058105,,outputs/reward_weighted_action_head/reward_weighted_action_head_lite_20260720_080912.npz,outputs/videos/reward_weighted_action_head_lite_v1_seed0.mp4,2,可作为偏好/奖励加权后训练代理,不能写成在线 RL 或真实 preference optimization
phase_conditioned_action_head_lite_v1,phase_conditioned_action_head_proxy,VLA/action-head 代理,Phase-Conditioned Action Head-lite,阶段条件 action head,五阶段 MLP action head,0/5,1/5,0/5,338915,,,outputs/phase_action_head/phase_conditioned_action_head_lite_20260720_082827.npz,outputs/videos/phase_conditioned_action_head_lite_v1_seed0.mp4,2,可说明显式阶段条件的增益和局限,不能写成学出了完整任务规划
adapter_action_head_lite_v1,peft_action_head_proxy,参数高效后训练代理,Adapter Action Head-lite,Adapter / LoRA-style 残差,冻结主干，仅训练小残差模块,0/5,1/5,0/5,2119,16.57701587677002,,outputs/peft_action_head/adapter_action_head_lite_20260720_072914.npz,outputs/videos/adapter_action_head_lite_v1_seed0.mp4,2,可对比 action head only / Adapter / LoRA-style 参数量,不能写成 pretrained VLA LoRA/Adapter
lora_action_head_lite_v1,peft_action_head_proxy,参数高效后训练代理,LoRA-style Action Head-lite,Adapter / LoRA-style 残差,冻结主干，仅训练小残差模块,0/5,1/5,0/5,2104,16.023154258728027,,outputs/peft_action_head/lora_action_head_lite_20260720_072913.npz,outputs/videos/lora_action_head_lite_v1_seed0.mp4,2,可对比 action head only / Adapter / LoRA-style 参数量,不能写成 pretrained VLA LoRA/Adapter
vision_language_action_head_lite_v1,vla_action_head_proxy,VLA/action-head 代理,Vision-Language Action Head-lite,轻量 action head,冻结特征 + MLP action head,0/5,0/5,0/5,137991,57.0500373840332,,outputs/vision_language_action_head/vision_language_action_head_lite_20260720_063123.npz,outputs/videos/vision_language_action_head_lite_v1_seed0.mp4,2,可作为本地 VLA action-head proxy,不能写成 pretrained VLA 后训练
clip_action_head_lite_v1,pretrained_vlm_action_head_proxy,VLM 表征代理,Frozen CLIP Action Head-lite,Frozen CLIP action head,冻结 CLIP + 轻量 MLP action head,0/5,0/5,0/5,302599,30.652456521987915,,outputs/clip_action_head/clip_action_head_lite_20260720_074716.npz,outputs/videos/clip_action_head_lite_v1_seed0.mp4,2,可作为已有 VLM 表征 + action head 的本地代理,CLIP 不是机器人 VLA，不能写成 OpenVLA/RT-2 后训练
multi_task_object_action_head_lite_v1,multi_task_action_head_proxy,多任务 action-head 代理,Multi-task Object-Language Action Head-lite,naive 多任务 MLP action head,混合多个任务数据源监督训练,0/5,0/5,0/5,106759,,,outputs/object_action_head/multi_task_object_action_head_lite_20260720_051331.npz,outputs/videos/multi_task_object_action_head_lite_v1_seed0.mp4,2,可说明 naive 多任务混合不等于语言泛化,不能写成真正多任务 VLA 泛化
