版本,阶段,方法,artifact,artifact存在,主任务训练范围,主任务留出范围,语言/空间泛化,可训练参数,模型大小MB,固定视频,视频审计通过,viewer命令存在,训练或采集命令存在,论文红线,入包状态,需补齐
expert_scripted_v1,scripted_oracle,Scripted Expert,scripts/run_expert.py,是,20/20,5/5,4/5,0,0.006,outputs/videos/expert_scripted_v1_seed0.mp4,是,是,是,可靠 oracle，用于生成示范数据。,通过,无
structured_waypoint_policy_v1,structured_control_baseline,Structured Waypoint Policy,outputs/structured_waypoint_policy/structured_waypoint_policy_20260720_065456.npz,是,5/5,4/5,4/5,0,0.001,outputs/videos/structured_waypoint_policy_v1_seed0.mp4,是,是,是,单次执行的结构化 waypoint 控制策略，使用目标物和目标区域状态做阶段化控制；不是 learned VLA。,通过,无
replay_demo_v1,data_verification,Replay,data/demos/place_blue_cube_blue_pad_medium_20260702_051752/episodes/episode_000000_seed_0.npz,是,replay_success=True,not_applicable,不适用,0,0.775,outputs/videos/replay_demo_v1_seed0.mp4,是,是,不适用,验证保存轨迹能复现 MuJoCo 执行过程。,通过,无
linear_bc_v1,weak_bc_baseline,Linear BC,outputs/bc/bc_linear_20260702_051909.npz,是,0/5,0/5,0/5,1015,0.006,outputs/videos/linear_bc_v1_seed0.mp4,是,是,是,失败 baseline，说明离线 MSE 不能代表闭环控制效果。,通过,无
knn_bc_v1,non_neural_baseline,kNN BC,outputs/knn_bc/knn_bc_20260702_051907.npz,是,5/5,1/5,0/5,0,14.980,outputs/videos/knn_bc_v1_seed0.mp4,是,是,是,训练范围成功，泛化较弱。,通过,无
mlp_bc_v1,neural_bc_baseline,MLP BC,outputs/mlp_bc/mlp_bc_20260702_053322.npz,是,0/5,1/5,0/5,104711,0.376,outputs/videos/mlp_bc_v1_seed0.mp4,是,是,是,单步动作回归不足以稳定抓取。,通过,无
act_lite_chunk_bc_v1,trajectory_conditioned_baseline,Action-Chunk BC / ACT-lite,outputs/chunk_bc/chunk_bc_20260702_072710.npz,是,0/5,0/5,0/5,117304,0.421,outputs/videos/act_lite_chunk_bc_v1_seed0.mp4,是,是,是,短动作块仍不足，需要完整 ACT 或 Diffusion Policy。,通过,无
diffusion_policy_lite_v1,diffusion_policy_baseline,Diffusion Policy-lite,outputs/diffusion_policy/diffusion_policy_lite_20260720_042215.npz,是,0/5,0/5,0/5,132408,0.476,outputs/videos/diffusion_policy_lite_v1_seed0.mp4,是,是,是,NumPy DDPM 风格动作块 baseline，不是完整官方 PyTorch Diffusion Policy。,通过,无
torch_diffusion_policy_state_chunk_v1,torch_diffusion_policy_baseline,PyTorch State Diffusion Policy,outputs/torch_diffusion_policy/torch_diffusion_policy_state_chunk_20260720_101928.pt,是,0/5,0/5,0/5,183111,0.732,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.mp4,是,是,是,PyTorch state-only conditional diffusion action-chunk baseline，使用 8 帧历史状态、8 步动作块、16 步 DDPM 训练和 4 步 DDIM 快速采样；不是完整视觉 Diffusion Policy。,通过,无
trajectory_conditioned_chunk_bc_v2,trajectory_conditioned_baseline,Trajectory-Conditioned Action-Chunk BC / ACT-lite v2,outputs/chunk_bc/trajectory_chunk_bc_20260720_043500.npz,是,0/5,0/5,0/5,375352,1.350,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.mp4,是,是,是,输入最近 8 帧观测历史并输出 8 步动作块；动作更平滑，但仍未形成稳定夹取。,通过,无
trajectory_knn_chunk_bc_v1,trajectory_memory_baseline,Trajectory-kNN Action-Chunk BC,outputs/trajectory_knn_bc/trajectory_knn_chunk_bc_20260720_053423.npz,是,5/5,0/5,0/5,0,32.923,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.mp4,是,是,是,使用最近 8 帧观测历史检索示范动作块；训练范围可成功，但留出范围失败，说明仍是轨迹记忆型 baseline。,通过,无
torch_act_state_chunk_v1,torch_act_baseline,PyTorch State Transformer ACT,outputs/torch_act/torch_act_state_chunk_20260720_055409.pt,是,1/5,0/5,0/5,178183,0.708,outputs/videos/torch_act_state_chunk_v1_seed0.mp4,是,是,是,PyTorch Transformer encoder/decoder 动作块模型，输入 8 帧状态历史并输出 8 步动作块；训练范围 seed0 成功，但总体仍不稳定。,通过,无
torch_act_state_chunk_cuda_v1,torch_act_baseline,PyTorch State Transformer ACT CUDA,outputs/torch_act/torch_act_state_chunk_cuda_20260720_095442.pt,是,0/5,1/5,0/5,178183,0.709,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.mp4,是,是,是,同结构的 state-only PyTorch ACT 在 CUDA Torch 2.6.0+cu124 下训练；训练时间约 17.46s，峰值显存约 71.27MB。该版本用于资源/运行环境对照，不代表策略效果提升。,通过,无
phase_conditioned_torch_act_v1,torch_act_baseline,Phase-Conditioned PyTorch State ACT,outputs/torch_act/phase_conditioned_torch_act_20260720_132228.pt,是,0/5,0/5,未登记,178503,0.710,outputs/videos/phase_conditioned_torch_act_v1_seed0.mp4,是,是,是,在 state-only PyTorch ACT 的 8 帧历史状态上追加 approach/grasp/lift/transfer/place-release 阶段 one-hot；离线误差正常但闭环仍失败，说明显式阶段条件本身不能解决接触、夹紧和抬升。,通过,无
