阶段分组,方法数,代表版本,最好训练范围,最好留出范围,最好语言泛化,可训练参数范围,阶段目的,阶段结论,讲解建议,视频证据
环境与示范,1,expert_scripted_v1,expert_scripted_v1：20/20 (100%),expert_scripted_v1：5/5 (100%),expert_scripted_v1：4/5 (80%),0,验证桌面任务本身可执行，并生成可复现示范数据。,规则 expert 仍是当前上界，适合解释任务可行性和示范来源。,先播放 expert 视频，说明环境、物体、成功指标和数据采集链路。,outputs/videos/expert_scripted_v1_seed0.mp4
数据验证,1,replay_demo_v1,未评测,未评测,未评测,0,验证保存的动作轨迹能够被 MuJoCo 重新回放。,replay 只证明数据可复现，不代表策略学习能力。,用于说明数据不是只存在于运行时，而是可以离线保存、复现和作为训练集。,outputs/videos/replay_demo_v1_seed0.mp4
结构化控制强基线,1,structured_waypoint_policy_v1,structured_waypoint_policy_v1：5/5 (100%),structured_waypoint_policy_v1：4/5 (80%),structured_waypoint_policy_v1：4/5 (80%),0,提供可解释的阶段化控制上界，用来确认任务不是物理上不可完成。,结构化 waypoint 在主任务和语言/空间任务上明显强于多数 learned baseline。,强调它使用显式状态和规则，不是 VLA，但能揭示抓取任务需要阶段恢复和接触控制。,outputs/videos/structured_waypoint_policy_v1_seed0.mp4
普通模仿学习,3,linear_bc_v1、knn_bc_v1、mlp_bc_v1,knn_bc_v1：5/5 (100%),knn_bc_v1：1/5 (20%),linear_bc_v1：0/5 (0%),"0 - 104,711",建立 Linear BC、kNN BC、MLP BC 等普通 imitation learning 对照组。,单步回归闭环不稳定；kNN 训练范围强但留出和语言泛化弱。,这一阶段回答“简单 BC 是否足够”，结论是否定的。,outputs/videos/linear_bc_v1_seed0.mp4、outputs/videos/knn_bc_v1_seed0.mp4、outputs/videos/mlp_bc_v1_seed0.mp4
动作块 / 轨迹条件,3,act_lite_chunk_bc_v1、trajectory_conditioned_chunk_bc_v2、trajectory_knn_chunk_bc_v1,trajectory_knn_chunk_bc_v1：5/5 (100%),act_lite_chunk_bc_v1：0/5 (0%),act_lite_chunk_bc_v1：0/5 (0%),"0 - 375,352",测试历史窗口和动作块是否能补足单步 BC 的短视问题。,trajectory-kNN 能记住训练轨迹，但 held-out 失败；动作块 MLP 更平滑但仍不稳定抓取。,适合作为 ACT 前的过渡 baseline，不能写成完整 ACT。,outputs/videos/act_lite_chunk_bc_v1_seed0.mp4、outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.mp4、outputs/videos/trajectory_knn_chunk_bc_v1_seed0.mp4
ACT-style,6,torch_act_state_chunk_v1、torch_act_state_chunk_cuda_v1、phase_conditioned_torch_act_v1,torch_act_state_chunk_v1：1/5 (20%),torch_act_state_chunk_cuda_v1：1/5 (20%),torch_act_state_chunk_v1：0/5 (0%),"178,183 - 219,335",用 Transformer action chunk、CVAE latent 和轻量视觉代理特征建立 ACT-style baseline。,结构更接近 ACT，但 state-only 或 pooled RGB 代理版本仍不能稳定解决接触、夹紧和抬升。,这里的结论应写成 state-only/ACT-lite baseline 不足，而不是完整视觉 ACT 失败。,outputs/videos/torch_act_state_chunk_v1_seed0.mp4、outputs/videos/torch_act_state_chunk_cuda_v1_seed0.mp4、outputs/videos/phase_conditioned_torch_act_v1_seed0.mp4
Diffusion Policy,2,diffusion_policy_lite_v1、torch_diffusion_policy_state_chunk_v1,diffusion_policy_lite_v1：0/5 (0%),diffusion_policy_lite_v1：0/5 (0%),diffusion_policy_lite_v1：0/5 (0%),"132,408 - 183,111",建立动作块扩散策略对照，区分 NumPy-lite 和 PyTorch state-only diffusion。,PyTorch diffusion 能记录资源和训练指标，但闭环仍未稳定成功。,用于说明失败不只是 NumPy 实现过弱，state-only 小数据 diffusion 也不足。,outputs/videos/diffusion_policy_lite_v1_seed0.mp4、outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.mp4
VLA/action-head 代理,3,object_language_action_head_lite_v1、phase_conditioned_action_head_lite_v1、vision_language_action_head_lite_v1,object_language_action_head_lite_v1：1/5 (20%),phase_conditioned_action_head_lite_v1：1/5 (20%),object_language_action_head_lite_v1：0/5 (0%),"106,759 - 338,915",在本地可复现条件下模拟 VLA action-head-only 路线。,对象/语言/视觉统计特征 action head 已搭好，但当前闭环成功率仍不足。,强调这是 VLA 路线的本地 proxy，不是 OpenVLA 或 RT-2 后训练。,outputs/videos/object_language_action_head_lite_v1_seed0.mp4、outputs/videos/phase_conditioned_action_head_lite_v1_seed0.mp4、outputs/videos/vision_language_action_head_lite_v1_seed0.mp4
VLM 表征代理,1,clip_action_head_lite_v1,clip_action_head_lite_v1：0/5 (0%),clip_action_head_lite_v1：0/5 (0%),clip_action_head_lite_v1：0/5 (0%),"302,599",测试冻结通用 VLM 表征加轻量 action head 的可行性。,冻结 CLIP 表征不能直接补足机器人接触控制和阶段执行。,可以作为“已有 VLM 表征 + action head”的弱代理，但不能写成机器人 VLA。,outputs/videos/clip_action_head_lite_v1_seed0.mp4
轻量后训练代理,1,reward_weighted_action_head_lite_v1,reward_weighted_action_head_lite_v1：0/5 (0%),reward_weighted_action_head_lite_v1：0/5 (0%),reward_weighted_action_head_lite_v1：0/5 (0%),"106,759",测试 reward-weighted BC 是否能作为轻量后训练代理。,加权后训练代理未带来稳定闭环提升，说明偏好/奖励权重需要更强数据或在线修正。,不能写成在线 RL，只能写成 reward-weighted BC proxy。,outputs/videos/reward_weighted_action_head_lite_v1_seed0.mp4
