版本,谱系层级,状态,类别,父级/依赖,阶段或登记阶段,方法或对象,artifact或输出,量化结果或成功门槛,首选视频或展示,关系说明,论文边界
demo_place_blue_cube_blue_pad_v1,0. 数据与任务定义,current_dataset,demonstration_dataset,task_tabletop_widowx_mujoco_v1,data_collection,MuJoCo scripted demonstrations,data/demos/place_blue_cube_blue_pad_medium_20260702_051752,100 条 episode，成功 92，成功率 0.92,outputs/presentation_clips/01_task_data_oracle.mp4,所有当前正式学习方法的主训练数据源；OpenVLA bridge 也从这里导出样本。,只能写成 MuJoCo scripted demonstration 数据集，不能写成真实机械臂 demonstration。
expert_scripted_v1,1. 任务、示范与上界,formal_current,环境与示范,task_tabletop_widowx_mujoco_v1,scripted_oracle,Scripted Expert,scripts/run_expert.py,train=20/20；held-out=5/5；language=4/5；params=0,outputs/videos/expert_scripted_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 task_tabletop_widowx_mujoco_v1,可靠 oracle，用于生成示范数据。
structured_waypoint_policy_v1,1. 任务、示范与上界,formal_current,结构化控制强基线,expert_scripted_v1；task_tabletop_widowx_mujoco_v1,structured_control_baseline,Structured Waypoint Policy,outputs/structured_waypoint_policy/structured_waypoint_policy_20260720_065456.npz,train=5/5；held-out=4/5；language=4/5；params=0,outputs/videos/structured_waypoint_policy_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 expert_scripted_v1；task_tabletop_widowx_mujoco_v1；后续关联 grasp_lift_subpolicy_probe_v1_candidate；real_widowx_validation_handoff_v1,单次执行的结构化 waypoint 控制策略，使用目标物和目标区域状态做阶段化控制；不是 learned VLA。
replay_demo_v1,1. 任务、示范与上界,formal_current,数据验证,demo_place_blue_cube_blue_pad_v1,data_verification,Replay,data/demos/place_blue_cube_blue_pad_medium_20260702_051752/episodes/episode_000000_seed_0.npz,train=replay_success=True；held-out=not_applicable；language=不适用；params=0,outputs/videos/replay_demo_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 demo_place_blue_cube_blue_pad_v1,验证保存轨迹能复现 MuJoCo 执行过程。
linear_bc_v1,2. 普通模仿学习 baseline,formal_current,普通模仿学习,demo_place_blue_cube_blue_pad_v1,weak_bc_baseline,Linear BC,outputs/bc/bc_linear_20260702_051909.npz,train=0/5；held-out=0/5；language=0/5；params=1015,outputs/videos/linear_bc_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 demo_place_blue_cube_blue_pad_v1,失败 baseline，说明离线 MSE 不能代表闭环控制效果。
knn_bc_v1,2. 普通模仿学习 baseline,formal_current,普通模仿学习,demo_place_blue_cube_blue_pad_v1,non_neural_baseline,kNN BC,outputs/knn_bc/knn_bc_20260702_051907.npz,train=5/5；held-out=1/5；language=0/5；params=0,outputs/videos/knn_bc_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 demo_place_blue_cube_blue_pad_v1,训练范围成功，泛化较弱。
mlp_bc_v1,2. 普通模仿学习 baseline,formal_current,普通模仿学习,demo_place_blue_cube_blue_pad_v1；linear_bc_v1,neural_bc_baseline,MLP BC,outputs/mlp_bc/mlp_bc_20260702_053322.npz,train=0/5；held-out=1/5；language=0/5；params=104711,outputs/videos/mlp_bc_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 demo_place_blue_cube_blue_pad_v1；linear_bc_v1,单步动作回归不足以稳定抓取。
act_lite_chunk_bc_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,动作块 / 轨迹条件,demo_place_blue_cube_blue_pad_v1；linear_bc_v1；mlp_bc_v1,trajectory_conditioned_baseline,Action-Chunk BC / ACT-lite,outputs/chunk_bc/chunk_bc_20260702_072710.npz,train=0/5；held-out=0/5；language=0/5；params=117304,outputs/videos/act_lite_chunk_bc_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 demo_place_blue_cube_blue_pad_v1；linear_bc_v1；mlp_bc_v1,短动作块仍不足，需要完整 ACT 或 Diffusion Policy。
diffusion_policy_lite_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,Diffusion Policy,demo_place_blue_cube_blue_pad_v1；act_lite_chunk_bc_v1,diffusion_policy_baseline,Diffusion Policy-lite,outputs/diffusion_policy/diffusion_policy_lite_20260720_042215.npz,train=0/5；held-out=0/5；language=0/5；params=132408,outputs/videos/diffusion_policy_lite_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 demo_place_blue_cube_blue_pad_v1；act_lite_chunk_bc_v1,NumPy DDPM 风格动作块 baseline，不是完整官方 PyTorch Diffusion Policy。
torch_diffusion_policy_state_chunk_v1,3. Trajectory / ACT / Diffusion 对照,formal_current,Diffusion Policy,diffusion_policy_lite_v1；demo_place_blue_cube_blue_pad_v1,torch_diffusion_policy_baseline,PyTorch State Diffusion Policy,outputs/torch_diffusion_policy/torch_diffusion_policy_state_chunk_20260720_101928.pt,train=0/5；held-out=0/5；language=0/5；params=183111,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.mp4,正式 MuJoCo 方法版本；承接 diffusion_policy_lite_v1；demo_place_blue_cube_blue_pad_v1,PyTorch state-only conditional diffusion action-chunk baseline，使用 8 帧历史状态、8 步动作块、16 步 DDPM 训练和 4 步 DDIM 快速采样；不是完整视觉 Diffusion Policy。
