version,method_key,method_version,domain,domain_description,seed,task,complexity,success,target_distance,object_z,grasp_success,out_of_table,steps_taken,arm_kp,arm_force,gripper_kp,gripper_force,friction,purpose
domain_randomization_eval_v1,structured_waypoint_policy,structured_waypoint_policy_v1,nominal,训练/常规评测域,0,place_blue_cube_blue_pad,medium,True,0.005600,0.024892,False,False,2840,150.0,100.0,800.0,140.0,3.0,结构化强对照，检验任务在扰动域下是否仍可解
domain_randomization_eval_v1,structured_waypoint_policy,structured_waypoint_policy_v1,nominal,训练/常规评测域,1,place_blue_cube_blue_pad,medium,True,0.024459,0.024892,False,False,2840,150.0,100.0,800.0,140.0,3.0,结构化强对照，检验任务在扰动域下是否仍可解
domain_randomization_eval_v1,trajectory_knn_bc,trajectory_knn_chunk_bc_v1,nominal,训练/常规评测域,0,place_blue_cube_blue_pad,medium,True,0.011077,0.024892,False,False,2840,150.0,100.0,800.0,140.0,3.0,轨迹记忆型 baseline，检验训练范围记忆对动力学扰动是否敏感
domain_randomization_eval_v1,trajectory_knn_bc,trajectory_knn_chunk_bc_v1,nominal,训练/常规评测域,1,place_blue_cube_blue_pad,medium,True,0.018184,0.024892,False,False,2840,150.0,100.0,800.0,140.0,3.0,轨迹记忆型 baseline，检验训练范围记忆对动力学扰动是否敏感
domain_randomization_eval_v1,visual_act_cnn_cvae,visual_act_cnn_cvae_v1,nominal,训练/常规评测域,0,place_blue_cube_blue_pad,medium,False,0.089282,0.024892,False,False,2840,150.0,100.0,800.0,140.0,3.0,小型 CNN 视觉 ACT-CVAE baseline，检验视觉 ACT-lite 在扰动域下的闭环稳定性
domain_randomization_eval_v1,visual_act_cnn_cvae,visual_act_cnn_cvae_v1,nominal,训练/常规评测域,1,place_blue_cube_blue_pad,medium,False,0.210522,0.024892,False,False,2840,150.0,100.0,800.0,140.0,3.0,小型 CNN 视觉 ACT-CVAE baseline，检验视觉 ACT-lite 在扰动域下的闭环稳定性
domain_randomization_eval_v1,structured_waypoint_policy,structured_waypoint_policy_v1,low_friction_soft_grip,低摩擦、低夹爪力和较软机械臂，用于模拟接触不稳定,0,place_blue_cube_blue_pad,medium,True,0.023346,0.024892,False,False,2840,120.0,80.0,600.0,90.0,1.2,结构化强对照，检验任务在扰动域下是否仍可解
domain_randomization_eval_v1,structured_waypoint_policy,structured_waypoint_policy_v1,low_friction_soft_grip,低摩擦、低夹爪力和较软机械臂，用于模拟接触不稳定,1,place_blue_cube_blue_pad,medium,True,0.028165,0.024892,False,False,2840,120.0,80.0,600.0,90.0,1.2,结构化强对照，检验任务在扰动域下是否仍可解
domain_randomization_eval_v1,trajectory_knn_bc,trajectory_knn_chunk_bc_v1,low_friction_soft_grip,低摩擦、低夹爪力和较软机械臂，用于模拟接触不稳定,0,place_blue_cube_blue_pad,medium,False,0.072914,0.024892,False,False,2840,120.0,80.0,600.0,90.0,1.2,轨迹记忆型 baseline，检验训练范围记忆对动力学扰动是否敏感
domain_randomization_eval_v1,trajectory_knn_bc,trajectory_knn_chunk_bc_v1,low_friction_soft_grip,低摩擦、低夹爪力和较软机械臂，用于模拟接触不稳定,1,place_blue_cube_blue_pad,medium,True,0.020679,0.024892,False,False,2840,120.0,80.0,600.0,90.0,1.2,轨迹记忆型 baseline，检验训练范围记忆对动力学扰动是否敏感
domain_randomization_eval_v1,visual_act_cnn_cvae,visual_act_cnn_cvae_v1,low_friction_soft_grip,低摩擦、低夹爪力和较软机械臂，用于模拟接触不稳定,0,place_blue_cube_blue_pad,medium,False,0.089282,0.024892,False,False,2840,120.0,80.0,600.0,90.0,1.2,小型 CNN 视觉 ACT-CVAE baseline，检验视觉 ACT-lite 在扰动域下的闭环稳定性
domain_randomization_eval_v1,visual_act_cnn_cvae,visual_act_cnn_cvae_v1,low_friction_soft_grip,低摩擦、低夹爪力和较软机械臂，用于模拟接触不稳定,1,place_blue_cube_blue_pad,medium,False,0.210522,0.024892,False,False,2840,120.0,80.0,600.0,90.0,1.2,小型 CNN 视觉 ACT-CVAE baseline，检验视觉 ACT-lite 在扰动域下的闭环稳定性
domain_randomization_eval_v1,structured_waypoint_policy,structured_waypoint_policy_v1,high_friction_stiff_arm,高摩擦、较硬机械臂和较强夹爪，用于模拟动力学偏差,0,place_blue_cube_blue_pad,medium,True,0.006193,0.024892,False,False,2840,180.0,120.0,900.0,160.0,5.0,结构化强对照，检验任务在扰动域下是否仍可解
domain_randomization_eval_v1,structured_waypoint_policy,structured_waypoint_policy_v1,high_friction_stiff_arm,高摩擦、较硬机械臂和较强夹爪，用于模拟动力学偏差,1,place_blue_cube_blue_pad,medium,True,0.019534,0.024892,False,False,2840,180.0,120.0,900.0,160.0,5.0,结构化强对照，检验任务在扰动域下是否仍可解
domain_randomization_eval_v1,trajectory_knn_bc,trajectory_knn_chunk_bc_v1,high_friction_stiff_arm,高摩擦、较硬机械臂和较强夹爪，用于模拟动力学偏差,0,place_blue_cube_blue_pad,medium,True,0.010592,0.024892,False,False,2840,180.0,120.0,900.0,160.0,5.0,轨迹记忆型 baseline，检验训练范围记忆对动力学扰动是否敏感
domain_randomization_eval_v1,trajectory_knn_bc,trajectory_knn_chunk_bc_v1,high_friction_stiff_arm,高摩擦、较硬机械臂和较强夹爪，用于模拟动力学偏差,1,place_blue_cube_blue_pad,medium,True,0.016358,0.024892,False,False,2840,180.0,120.0,900.0,160.0,5.0,轨迹记忆型 baseline，检验训练范围记忆对动力学扰动是否敏感
domain_randomization_eval_v1,visual_act_cnn_cvae,visual_act_cnn_cvae_v1,high_friction_stiff_arm,高摩擦、较硬机械臂和较强夹爪，用于模拟动力学偏差,0,place_blue_cube_blue_pad,medium,False,0.089282,0.024892,False,False,2840,180.0,120.0,900.0,160.0,5.0,小型 CNN 视觉 ACT-CVAE baseline，检验视觉 ACT-lite 在扰动域下的闭环稳定性
domain_randomization_eval_v1,visual_act_cnn_cvae,visual_act_cnn_cvae_v1,high_friction_stiff_arm,高摩擦、较硬机械臂和较强夹爪，用于模拟动力学偏差,1,place_blue_cube_blue_pad,medium,False,0.210522,0.024892,False,False,2840,180.0,120.0,900.0,160.0,5.0,小型 CNN 视觉 ACT-CVAE baseline，检验视觉 ACT-lite 在扰动域下的闭环稳定性
