版本,方法定位,seed,结果,目标距离,物体高度,出界,视频文件,元数据文件,报告文件,实验结论,论文边界,完整viewer命令,重新导出视频命令
trajectory_phase_template_bc_v1_candidate,显式 phase 模板 / trajectory-conditioned BC 候选,1,"success=True, grasp_success=False",0.0113,0.0249,False,outputs/videos/trajectory_phase_template_bc_v1_candidate_seed1.mp4,outputs/videos/trajectory_phase_template_bc_v1_candidate_seed1.json,docs/trajectory_phase_template_bc_report.md,该 seed 的放置指标成功，但 grasp_success=False、物体高度未抬升，说明它更像模板碰撞/推放，不是可靠抓取策略。,只能作为 ACT/trajectory-conditioned 路线负例，不能写成可靠 ACT baseline。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_phase_template_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_phase_template_bc\trajectory_phase_template_bc_20260720_160007.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 1 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --arm-kp 150 --arm-force 100 --gripper-kp 800 --gripper-force 140 --friction 3.0 --action-alpha 0.35 --max-arm-delta 0.018 --max-gripper-delta 0.0008 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\export_video.py"" --method trajectory_phase_template_bc --task place_blue_cube_blue_pad --complexity medium --seed 1 --steps 2840 --camera top_rgb --fps 24 --frame-stride 12 --width 640 --height 480 --log-every 0"
grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate,抓取门控 trajectory-conditioned chunk BC 候选,0,"success=True, grasp_success=False",0.0562,0.0355,False,outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.mp4,outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.json,docs/grasp_gated_trajectory_act_report.md,该 seed 的放置指标成功，但 grasp_success=False、ever_grasp_success=False；慢速动作和夹爪门控仍没有形成真实抓取/抬升。,只能作为 trajectory-conditioned chunk BC 控制层诊断负例，不能写成已稳定抓取。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\trajectory_chunk_bc_20260720_043500.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --grasp-gate --close-phase 0.22 --release-phase 0.78 --near-threshold 0.11 --release-distance 0.095 --open-gripper 0.037 --close-gripper 0.015 --action-alpha 0.12 --max-arm-delta 0.006 --max-gripper-delta 0.00025 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --gripper-kp 900.0 --gripper-force 180.0 --friction 3.0 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\export_video.py"" --method grasp_gated_trajectory_chunk_bc --task place_blue_cube_blue_pad --complexity medium --seed 0 --steps 2840 --camera top_rgb --fps 24 --frame-stride 12 --width 640 --height 480 --gripper-kp 900.0 --gripper-force 180.0 --friction 3.0 --log-every 0"
trajectory_prior_residual_bc_v1_candidate,分阶段轨迹先验 + residual BC action head 候选,0,"success=True, grasp_success=False, tcp_grasp_lift_success=True",0.0113,0.0249,False,outputs/videos/trajectory_prior_residual_bc_v1_candidate_seed0.mp4,outputs/videos/trajectory_prior_residual_bc_v1_candidate_seed0.json,docs/trajectory_prior_residual_bc_report.md,该 seed 放置成功且 tcp_grasp_lift_success=True，但 grasp_success=False、strict_grasp_lift_success=False；说明结构化接触阶段先验改善闭环放置和 TCP 抬升，但仍不能写成严格抓取成功。,只能作为 trajectory-conditioned BC / ACT 路线的结构化先验诊断候选，不能写成纯 BC、完整官方 ACT、OpenVLA/OFT 或真实 WidowX 结果。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_prior_residual_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_prior_residual_bc\trajectory_prior_residual_bc_v1_candidate_20260721_040050.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --residual-scale 0.25 --action-alpha 1.0 --max-arm-delta 0.02 --max-gripper-delta 0.0008 --gripper-kp 900 --gripper-force 180 --friction 3.0 --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\export_video.py"" --method trajectory_prior_residual_bc --version trajectory_prior_residual_bc_v1_candidate --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_prior_residual_bc\trajectory_prior_residual_bc_v1_candidate_20260721_040050.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --steps 2840 --camera top_rgb --fps 24 --frame-stride 12 --width 640 --height 480 --gripper-kp 900 --gripper-force 180 --friction 3.0 --action-alpha 1.0 --max-arm-delta 0.02 --max-gripper-delta 0.0008 --log-every 0"
timing_aware_trajectory_prior_residual_bc_v1_candidate,时序感知分阶段轨迹先验 + residual BC action head 候选,0,"success=True, grasp_success=False, tcp_grasp_lift_success=True",0.0126,0.0249,False,outputs/videos/timing_aware_trajectory_prior_residual_bc_v1_candidate_seed0.mp4,outputs/videos/timing_aware_trajectory_prior_residual_bc_v1_candidate_seed0.json,docs/timing_aware_trajectory_prior_residual_bc_report.md,最终参数 residual-scale=0.02 下 seed0 放置成功且 tcp_grasp_lift_success=True，但 grasp_success=False、strict_grasp_lift_success=False；5+5 评测显示 train-range 5/5、held-out 4/5，说明强时序先验和很小 residual 可恢复放置与 TCP 抬升，但严格抓取仍未解决。,只能作为 trajectory-conditioned BC / ACT 路线的时序先验诊断候选，不能写成完整官方 ACT、OpenVLA/OFT、稳定严格抓取或真实 WidowX 结果。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_timing_aware_trajectory_prior_residual_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\timing_aware_trajectory_prior_residual_bc\timing_aware_trajectory_prior_residual_bc_v1_candidate_20260721_070442.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 3500 --viewer --duration 90 --speed 0.05 --residual-scale 0.02 --action-alpha 1.0 --max-arm-delta 0.02 --max-gripper-delta 0.0008 --gripper-kp 900 --gripper-force 180 --friction 3.0 --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\export_video.py"" --method timing_aware_trajectory_prior_residual_bc --version timing_aware_trajectory_prior_residual_bc_v1_candidate --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\timing_aware_trajectory_prior_residual_bc\timing_aware_trajectory_prior_residual_bc_v1_candidate_20260721_070442.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --steps 3500 --camera top_rgb --fps 24 --frame-stride 12 --width 640 --height 480 --gripper-kp 900 --gripper-force 180 --friction 3.0 --residual-scale 0.02 --action-alpha 1.0 --max-arm-delta 0.02 --max-gripper-delta 0.0008 --log-every 0"
preference_trajectory_post_training_v1_candidate,偏好加权 trajectory-kNN 后训练候选,0,"success=True, grasp_success=False",0.0117,0.0249,False,outputs/videos/preference_trajectory_post_training_v1_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_candidate_seed0.json,docs/preference_trajectory_post_training_report.md,该 seed 的放置指标成功，但 grasp_success=False；偏好权重改善了训练范围目标距离，却没有形成真实抓取/抬升。,只能作为 trajectory-level preference/reward-weighted 后训练负例，不能写成在线 RL 或真实偏好优化成功。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_preference_trajectory_post_training_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_trajectory_post_training_20260720_165005.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --preference-power 1.0 --arm-kp 150 --arm-force 100 --gripper-kp 800 --gripper-force 140 --friction 3.0 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\export_video.py"" --method preference_trajectory_post_training --task place_blue_cube_blue_pad --complexity medium --seed 0 --steps 2840 --camera top_rgb --fps 24 --frame-stride 12 --width 640 --height 480 --log-every 0"
preference_trajectory_post_training_v1_ranked_objective_candidate,episode-ranked preference trajectory-kNN dense objective 候选,0,"success=False, grasp_success=False, tcp_grasp_lift_success=False",0.3346,0.0249,False,outputs/videos/preference_trajectory_post_training_v1_ranked_objective_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_ranked_objective_candidate_seed0.json,docs/preference_trajectory_post_training_v1_ranked_objective_summary.md,sample-stride=8 的 ranked objective 让 train-range 放置达到 4/5，但 held-out 0/5；固定 seed0 视频 success=False、tcp_grasp_lift_success=False、grasp_success=False，说明它仍没有解决真实抓取或泛化。,只能写成离线 trajectory-level ranking/preference weighting 负例，不能升级为正式 preference_trajectory_post_training_v1、在线 RL、真实偏好优化或 VLA 后训练。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_preference_trajectory_post_training_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_trajectory_post_training_v1_ranked_objective_candidate_20260721_073626.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --preference-power 1.0 --action-alpha 0.85 --max-arm-delta 0.04 --max-gripper-delta 0.0015 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\export_video.py"" --method preference_trajectory_post_training --version preference_trajectory_post_training_v1_ranked_objective_candidate --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_trajectory_post_training_v1_ranked_objective_candidate_20260721_073626.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --steps 2840 --camera top_rgb --fps 24 --frame-stride 12 --width 640 --height 480 --arm-kp 150 --arm-force 100 --gripper-kp 800 --gripper-force 140 --friction 3.0 --log-every 0"
preference_trajectory_post_training_v1_ranked_fast_candidate,episode-ranked preference trajectory-kNN 快速后训练候选,0,"success=True, grasp_success=False, tcp_grasp_lift_success=True",0.0102,0.0249,False,outputs/videos/preference_trajectory_post_training_v1_ranked_fast_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_ranked_fast_candidate_seed0.json,docs/preference_trajectory_post_training_v1_ranked_fast_summary.md,ranked preference objective 的来源更清楚，train-range 放置 2/5、held-out 0/5；seed0 有放置和 TCP 抬升轨迹，但 grasp_success=False、strict_grasp_lift_success=False。,只能写成离线 trajectory-level ranking/preference weighting 负例，不能升级为正式 preference_trajectory_post_training_v1、在线 RL、真实偏好优化或 VLA 后训练。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_preference_trajectory_post_training_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_trajectory_post_training_v1_ranked_fast_candidate_20260721_075041.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --preference-power 1.0 --action-alpha 0.85 --max-arm-delta 0.04 --max-gripper-delta 0.0015 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\export_video.py"" --method preference_trajectory_post_training --version preference_trajectory_post_training_v1_ranked_fast_candidate --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_trajectory_post_training_v1_ranked_fast_candidate_20260721_075041.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --steps 2840 --camera top_rgb --fps 24 --frame-stride 12 --width 640 --height 480 --arm-kp 150 --arm-force 100 --gripper-kp 800 --gripper-force 140 --friction 3.0 --log-every 0"
preference_trajectory_post_training_v1_tcp_lift_rank_candidate,TCP 抬升排序偏好 trajectory-kNN 后训练候选,0,"success=True, grasp_success=False, tcp_grasp_lift_success=True",0.0112,0.0249,False,outputs/videos/preference_trajectory_post_training_v1_tcp_lift_rank_candidate_seed0.mp4,outputs/videos/preference_trajectory_post_training_v1_tcp_lift_rank_candidate_seed0.json,docs/preference_trajectory_post_training_v1_tcp_lift_rank_report.md,tcp-lift preference objective 让 train-range 放置 5/5 且 TCP 抬升 5/5；但 grasp_success=False、strict_grasp_lift_success=False，held-out 只有 1/5 放置且 TCP 抬升 0/5。,只能写成离线 placed/tcp-lift ranking preference weighting 负例，不能升级为正式 preference_trajectory_post_training_v1、在线 RL、真实偏好优化或 VLA 后训练。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_preference_trajectory_post_training_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_trajectory_post_training_v1_tcp_lift_rank_candidate_20260721_090438.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --preference-power 1.0 --action-alpha 0.85 --max-arm-delta 0.04 --max-gripper-delta 0.0015 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\export_video.py"" --method preference_trajectory_post_training --version preference_trajectory_post_training_v1_tcp_lift_rank_candidate --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\preference_post_training\preference_trajectory_post_training_v1_tcp_lift_rank_candidate_20260721_090438.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --steps 2840 --camera top_rgb --fps 24 --frame-stride 12 --width 640 --height 480 --arm-kp 150 --arm-force 100 --gripper-kp 800 --gripper-force 140 --friction 3.0 --log-every 0"
grasp_gated_torch_act_state_chunk_v1_candidate,抓取门控 Torch ACT state chunk 候选,0,"success=False, grasp_success=False",0.0831,0.0249,False,outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.mp4,outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.json,docs/grasp_gated_trajectory_act_report.md,该 seed 放置失败，且 grasp_success=False、ever_grasp_success=False；保守门控没有解决 ACT 接触保持和抬升失败。,只能作为 Torch ACT 控制层诊断负例，不能写成 ACT 已稳定抓取。,"$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_20260720_055409.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --grasp-gate --close-phase 0.22 --release-phase 0.78 --near-threshold 0.11 --release-distance 0.095 --open-gripper 0.037 --close-gripper 0.015 --action-alpha 0.12 --max-arm-delta 0.006 --max-gripper-delta 0.00025 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --gripper-kp 900.0 --gripper-force 180.0 --friction 3.0 --stop-on-unsafe --log-every 500","$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\export_video.py"" --method grasp_gated_torch_act --task place_blue_cube_blue_pad --complexity medium --seed 0 --steps 2840 --camera top_rgb --fps 24 --frame-stride 12 --width 640 --height 480 --gripper-kp 900.0 --gripper-force 180.0 --friction 3.0 --log-every 0"
phase_weighted_torch_act_v1_candidate,阶段加权 Torch ACT 候选,0,"success=False, grasp_success=False",0.0956,0.0249,False,outputs/videos/phase_weighted_torch_act_v1_candidate_seed0.mp4,outputs/videos/phase_weighted_torch_act_v1_candidate_seed0.json,docs/phase_weighted_torch_act_report.md,该 seed 放置失败，grasp_success=False、ever_grasp_success=False；阶段加权降低离线误差，但没有形成稳定接触、夹紧和抬升。,只能作为阶段加权 ACT 训练诊断负例，不能写成完整 ACT 或稳定抓取成功。,"$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\phase_weighted_torch_act_v1_candidate_20260720_225108.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.02 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500","$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\export_video.py"" --method phase_weighted_torch_act --task place_blue_cube_blue_pad --complexity medium --seed 0 --steps 2840 --camera top_rgb --fps 24 --frame-stride 12 --width 640 --height 480 --log-every 0"
