版本,方法,阶段,视频类型,任务,seed,结果,失败模式,证据用途,目标距离,末端到物体距离,物体高度,抓取标志,视频文件,元数据文件,论文可写,论文红线
expert_scripted_v1,Scripted Expert,scripted_oracle,主任务固定片段,place_blue_cube_blue_pad,0,success=True,成功样例,成功样例,0.0056,-,0.0249,-,outputs/videos/expert_scripted_v1_seed0.mp4,outputs/videos/expert_scripted_v1_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,不能写成 learned policy 或 VLA 泛化能力
structured_waypoint_policy_v1,Structured Waypoint Policy,structured_control_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=True,成功样例,成功样例,0.0056,0.1811,0.0249,False,outputs/videos/structured_waypoint_policy_v1_seed0.mp4,outputs/videos/structured_waypoint_policy_v1_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,不能写成 learned VLA 或语言泛化模型
replay_demo_v1,Replay,data_verification,主任务固定片段,place_blue_cube_blue_pad,0,replay 2840 steps,数据回放/可复现,数据可复现证据,-,-,-,-,outputs/videos/replay_demo_v1_seed0.mp4,outputs/videos/replay_demo_v1_seed0.json,可写作示范轨迹可被重新加载和回放，用于证明数据采集链路可复现；不能作为策略学习成功率。,不能作为策略学习方法对比
linear_bc_v1,Linear BC,weak_bc_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0893,0.3696,0.0249,False,outputs/videos/linear_bc_v1_seed0.mp4,outputs/videos/linear_bc_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能用离线 MSE 替代闭环成功率
knn_bc_v1,kNN BC,non_neural_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=True,成功样例,成功样例,0.0057,0.1811,0.0249,False,outputs/videos/knn_bc_v1_seed0.mp4,outputs/videos/knn_bc_v1_seed0.json,可写作固定任务、固定 seed 或训练分布内的一次可视化成功证据，但仍需以批量成功率为准。,训练范围成功不能写成泛化能力
mlp_bc_v1,MLP BC,neural_bc_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.3205,0.3959,0.0249,False,outputs/videos/mlp_bc_v1_seed0.mp4,outputs/videos/mlp_bc_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成序列策略或 VLA
act_lite_chunk_bc_v1,Action-Chunk BC / ACT-lite,trajectory_conditioned_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0832,0.1915,0.0249,False,outputs/videos/act_lite_chunk_bc_v1_seed0.mp4,outputs/videos/act_lite_chunk_bc_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成完整 ACT
diffusion_policy_lite_v1,Diffusion Policy-lite,diffusion_policy_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0893,0.1825,0.0249,False,outputs/videos/diffusion_policy_lite_v1_seed0.mp4,outputs/videos/diffusion_policy_lite_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成完整官方 Diffusion Policy
torch_diffusion_policy_state_chunk_v1,PyTorch State Diffusion Policy,torch_diffusion_policy_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.0893,0.2360,0.0249,False,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.mp4,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成完整视觉 Diffusion Policy
trajectory_conditioned_chunk_bc_v2,Trajectory-Conditioned Action-Chunk BC / ACT-lite v2,trajectory_conditioned_baseline,主任务固定片段,place_blue_cube_blue_pad,0,success=False,未形成有效抓取/未抬升,失败模式样例,0.1452,0.1536,0.0249,False,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.mp4,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.json,可写作闭环接触阶段失败：策略没有稳定完成靠近、夹紧和抬升，说明离线动作误差低不等于闭环操作成功。,不能写成完整 ACT
