version,stage,stage_label,method,artifact,train,heldout,language,train_rate,heldout_rate,language_rate,result_bucket,trainable_params,artifact_size_mb,train_time_seconds,peak_vram_mb,fixed_video,note,paper_redline,viewer_command
expert_scripted_v1,scripted_oracle,脚本专家 / Oracle,Scripted Expert,scripts/run_expert.py,20/20,5/5,4/5,100%,100%,80%,strong-oracle,0,0.006,,,outputs/videos/expert_scripted_v1_seed0.mp4,可靠 oracle，用于生成示范数据。,可靠 oracle，用于生成示范数据。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_expert.py"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --viewer --duration 60 --speed 0.05 --min-success-rate 0"
replay_demo_v1,data_verification,数据回放验证,Replay,data/demos/place_blue_cube_blue_pad_medium_20260702_051752/episodes/episode_000000_seed_0.npz,replay_success=True,not_applicable,不适用,-,-,-,not-applicable,0,0.775,,,outputs/videos/replay_demo_v1_seed0.mp4,验证保存轨迹能复现 MuJoCo 执行过程。,验证保存轨迹能复现 MuJoCo 执行过程。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\replay_demo.py"" --run-dir ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\data\demos\place_blue_cube_blue_pad_medium_20260702_051752"" --viewer --duration 60 --speed 0.05 --episode-index 0 --max-steps 2840"
structured_waypoint_policy_v1,structured_control_baseline,结构化强对照,Structured Waypoint Policy,outputs/structured_waypoint_policy/structured_waypoint_policy_20260720_065456.npz,5/5,4/5,4/5,100%,80%,80%,strong-oracle,0,0.001,,,outputs/videos/structured_waypoint_policy_v1_seed0.mp4,单次执行的结构化 waypoint 控制策略，使用目标物和目标区域状态做阶段化控制；不是 learned VLA。,单次执行的结构化 waypoint 控制策略，使用目标物和目标区域状态做阶段化控制；不是 learned VLA。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_structured_waypoint_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\structured_waypoint_policy\structured_waypoint_policy_20260720_065456.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05"
linear_bc_v1,weak_bc_baseline,Linear BC,Linear BC,outputs/bc/bc_linear_20260702_051909.npz,0/5,0/5,0/5,0%,0%,0%,failed,1015,0.006,,,outputs/videos/linear_bc_v1_seed0.mp4,失败 baseline，说明离线 MSE 不能代表闭环控制效果。,失败 baseline，说明离线 MSE 不能代表闭环控制效果。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_bc_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\bc\bc_linear_20260702_051909.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.05 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
knn_bc_v1,non_neural_baseline,kNN BC,kNN BC,outputs/knn_bc/knn_bc_20260702_051907.npz,5/5,1/5,0/5,100%,20%,0%,strong-oracle,0,14.980,,,outputs/videos/knn_bc_v1_seed0.mp4,训练范围成功，泛化较弱。,训练范围成功，泛化较弱。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\knn_bc\knn_bc_20260702_051907.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.02 --min-candidates 128 --action-alpha 1.0 --max-arm-delta 0.05 --max-gripper-delta 0.002 --stop-on-unsafe --log-every 500"
mlp_bc_v1,neural_bc_baseline,MLP BC,MLP BC,outputs/mlp_bc/mlp_bc_20260702_053322.npz,0/5,1/5,0/5,0%,20%,0%,partial,104711,0.376,,,outputs/videos/mlp_bc_v1_seed0.mp4,单步动作回归不足以稳定抓取。,单步动作回归不足以稳定抓取。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_mlp_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\mlp_bc\mlp_bc_20260702_053322.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.05 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
act_lite_chunk_bc_v1,trajectory_conditioned_baseline,Trajectory / ACT-lite,Action-Chunk BC / ACT-lite,outputs/chunk_bc/chunk_bc_20260702_072710.npz,0/5,0/5,0/5,0%,0%,0%,failed,117304,0.421,,,outputs/videos/act_lite_chunk_bc_v1_seed0.mp4,短动作块仍不足，需要完整 ACT 或 Diffusion Policy。,短动作块仍不足，需要完整 ACT 或 Diffusion Policy。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\chunk_bc_20260702_072710.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
trajectory_conditioned_chunk_bc_v2,trajectory_conditioned_baseline,Trajectory / ACT-lite,Trajectory-Conditioned Action-Chunk BC / ACT-lite v2,outputs/chunk_bc/trajectory_chunk_bc_20260720_043500.npz,0/5,0/5,0/5,0%,0%,0%,failed,375352,1.350,,,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.mp4,输入最近 8 帧观测历史并输出 8 步动作块；动作更平滑，但仍未形成稳定夹取。,输入最近 8 帧观测历史并输出 8 步动作块；动作更平滑，但仍未形成稳定夹取。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\trajectory_chunk_bc_20260720_043500.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
trajectory_knn_chunk_bc_v1,trajectory_memory_baseline,Trajectory-kNN,Trajectory-kNN Action-Chunk BC,outputs/trajectory_knn_bc/trajectory_knn_chunk_bc_20260720_053423.npz,5/5,0/5,0/5,100%,0%,0%,strong-oracle,0,32.923,,,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.mp4,使用最近 8 帧观测历史检索示范动作块；训练范围可成功，但留出范围失败，说明仍是轨迹记忆型 baseline。,使用最近 8 帧观测历史检索示范动作块；训练范围可成功，但留出范围失败，说明仍是轨迹记忆型 baseline。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_knn_bc\trajectory_knn_chunk_bc_20260720_053423.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --action-alpha 0.85 --max-arm-delta 0.04 --max-gripper-delta 0.0015 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
phase_conditioned_torch_act_v1,torch_act_baseline,PyTorch ACT-style,Phase-Conditioned PyTorch State ACT,outputs/torch_act/phase_conditioned_torch_act_20260720_132228.pt,0/5,0/5,未登记,0%,0%,-,failed,178503,0.710,12.979319299993222,71.3134765625,outputs/videos/phase_conditioned_torch_act_v1_seed0.mp4,在 state-only PyTorch ACT 的 8 帧历史状态上追加 approach/grasp/lift/transfer/place-release 阶段 one-hot；离线误差正常但闭环仍失败，说明显式阶段条件本身不能解决接触、夹紧和抬升。,在 state-only PyTorch ACT 的 8 帧历史状态上追加 approach/grasp/lift/transfer/place-release 阶段 one-hot；离线误差正常但闭环仍失败，说明显式阶段条件本身不能解决接触、夹紧和抬升。,"$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\phase_conditioned_torch_act_20260720_132228.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
