版本,阶段,阶段分组,方法,方法性质,视觉/状态输入,语言输入,训练方式,主任务训练范围,主任务留出范围,语言泛化,可训练参数,训练时间秒,峰值显存MB,artifact,固定视频,论文可写,论文红线,当前结论
expert_scripted_v1,scripted_oracle,环境与示范,Scripted Expert,规则 oracle,无学习视觉输入,任务参数由脚本显式给出,不训练,20/20 (100%),5/5 (100%),4/5 (80%),0,未记录,未记录,scripts/run_expert.py,outputs/videos/expert_scripted_v1_seed0.mp4,可作为任务可行性和示范生成上界,不能写成 learned policy 或 VLA 泛化能力,可靠 oracle，用于生成示范数据。
structured_waypoint_policy_v1,structured_control_baseline,结构化控制强基线,Structured Waypoint Policy,显式状态控制,直接使用目标状态,规则解析任务目标,不训练或仅保存参数,5/5 (100%),4/5 (80%),4/5 (80%),0,未记录,未记录,outputs/structured_waypoint_policy/structured_waypoint_policy_20260720_065456.npz,outputs/videos/structured_waypoint_policy_v1_seed0.mp4,可作为任务可解性和阶段化控制上界,不能写成 learned VLA 或语言泛化模型,单次执行的结构化 waypoint 控制策略，使用目标物和目标区域状态做阶段化控制；不是 learned VLA。
replay_demo_v1,data_verification,数据验证,Replay,轨迹回放,无学习视觉输入,不涉及语言理解,不训练,replay_success=True,not_applicable,未评测,0,未记录,未记录,data/demos/place_blue_cube_blue_pad_medium_20260702_051752/episodes/episode_000000_seed_0.npz,outputs/videos/replay_demo_v1_seed0.mp4,可证明保存的动作轨迹能复现 MuJoCo 执行过程,不能作为策略学习方法对比,验证保存轨迹能复现 MuJoCo 执行过程。
linear_bc_v1,weak_bc_baseline,普通模仿学习,Linear BC,线性 BC,低维状态,无语言泛化,单步 MSE 行为克隆,0/5 (0%),0/5 (0%),0/5 (0%),1015,未记录,未记录,outputs/bc/bc_linear_20260702_051909.npz,outputs/videos/linear_bc_v1_seed0.mp4,可作为最弱普通 BC 对照,不能用离线 MSE 替代闭环成功率,失败 baseline，说明离线 MSE 不能代表闭环控制效果。
knn_bc_v1,non_neural_baseline,普通模仿学习,kNN BC,非参数 kNN,低维状态,无语言泛化,示范样本检索,5/5 (100%),1/5 (20%),0/5 (0%),0,未记录,未记录,outputs/knn_bc/knn_bc_20260702_051907.npz,outputs/videos/knn_bc_v1_seed0.mp4,可说明训练范围记忆效果,训练范围成功不能写成泛化能力,训练范围成功，泛化较弱。
mlp_bc_v1,neural_bc_baseline,普通模仿学习,MLP BC,MLP BC,低维状态,无语言泛化,单步 MSE 行为克隆,0/5 (0%),1/5 (20%),0/5 (0%),104711,未记录,未记录,outputs/mlp_bc/mlp_bc_20260702_053322.npz,outputs/videos/mlp_bc_v1_seed0.mp4,可作为标准神经网络 BC 对照,不能写成序列策略或 VLA,单步动作回归不足以稳定抓取。
act_lite_chunk_bc_v1,trajectory_conditioned_baseline,动作块 / 轨迹条件,Action-Chunk BC / ACT-lite,ACT-lite 动作块,低维状态历史,无真实语言理解,历史窗口到动作块的监督学习,0/5 (0%),0/5 (0%),0/5 (0%),117304,未记录,未记录,outputs/chunk_bc/chunk_bc_20260702_072710.npz,outputs/videos/act_lite_chunk_bc_v1_seed0.mp4,可作为 trajectory-conditioned / ACT-like baseline,不能写成完整 ACT,短动作块仍不足，需要完整 ACT 或 Diffusion Policy。
diffusion_policy_lite_v1,diffusion_policy_baseline,Diffusion Policy,Diffusion Policy-lite,NumPy DDPM-lite,低维状态,无真实语言理解,扩散式动作块代理训练,0/5 (0%),0/5 (0%),0/5 (0%),132408,未记录,未记录,outputs/diffusion_policy/diffusion_policy_lite_20260720_042215.npz,outputs/videos/diffusion_policy_lite_v1_seed0.mp4,可作为 diffusion action-chunk 思路的轻量对照,不能写成完整官方 Diffusion Policy,NumPy DDPM 风格动作块 baseline，不是完整官方 PyTorch Diffusion Policy。
torch_diffusion_policy_state_chunk_v1,torch_diffusion_policy_baseline,Diffusion Policy,PyTorch State Diffusion Policy,PyTorch state diffusion,state-only,无真实语言理解,Transformer 条件去噪动作块,0/5 (0%),0/5 (0%),0/5 (0%),183111,10.262407499998517,72.12744140625,outputs/torch_diffusion_policy/torch_diffusion_policy_state_chunk_20260720_101928.pt,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.mp4,可作为 state-only PyTorch Diffusion Policy baseline,不能写成完整视觉 Diffusion Policy,PyTorch state-only conditional diffusion action-chunk baseline，使用 8 帧历史状态、8 步动作块、16 步 DDPM 训练和 4 步 DDIM 快速采样；不是完整视觉 Diffusion Policy。
trajectory_conditioned_chunk_bc_v2,trajectory_conditioned_baseline,动作块 / 轨迹条件,Trajectory-Conditioned Action-Chunk BC / ACT-lite v2,ACT-lite 动作块,低维状态历史,无真实语言理解,历史窗口到动作块的监督学习,0/5 (0%),0/5 (0%),0/5 (0%),375352,未记录,未记录,outputs/chunk_bc/trajectory_chunk_bc_20260720_043500.npz,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.mp4,可作为 trajectory-conditioned / ACT-like baseline,不能写成完整 ACT,输入最近 8 帧观测历史并输出 8 步动作块；动作更平滑，但仍未形成稳定夹取。
