版本,方法,阶段,结构定位,主任务训练范围,主任务留出范围,语言/空间泛化,固定视频,success,target_distance,ee_object_distance,object_z,grasp_success,contact_count,mean_action_norm,max_action_norm,接触诊断,夹紧/抬升诊断,泛化诊断,动作速度诊断,可写结论,论文红线
act_lite_chunk_bc_v1,Action-Chunk BC / ACT-lite,trajectory_conditioned_baseline,轻量 MLP action-chunk / ACT-lite,0/5,0/5,0/5,outputs/videos/act_lite_chunk_bc_v1_seed0.mp4,False,0.0832,0.1915,0.0249,False,27.0,0.7269,1.5690,有接触，但接触没有转化为稳定夹紧和移动。,未稳定夹住，物体基本停留在桌面高度。,训练范围和留出范围都不稳定，不能作为可靠闭环策略。,viewer 已慢速限幅；模型原始动作波动仍偏大，失败不能只归因于播放速度。,可写本地 trajectory/ACT 对照组仍主要失败在接触、夹紧、抬升或泛化。,短动作块仍不足，需要完整 ACT 或 Diffusion Policy。
diffusion_policy_lite_v1,Diffusion Policy-lite,diffusion_policy_baseline,NumPy DDPM 风格动作块扩散 baseline,0/5,0/5,0/5,outputs/videos/diffusion_policy_lite_v1_seed0.mp4,False,0.0893,0.1825,0.0249,False,27.0,0.6827,1.5006,有接触，但接触没有转化为稳定夹紧和移动。,未稳定夹住，物体基本停留在桌面高度。,训练范围和留出范围都不稳定，不能作为可靠闭环策略。,viewer 已慢速限幅；模型原始动作波动仍偏大，失败不能只归因于播放速度。,可写本地 trajectory/ACT 对照组仍主要失败在接触、夹紧、抬升或泛化。,NumPy DDPM 风格动作块 baseline，不是完整官方 PyTorch Diffusion Policy。
torch_diffusion_policy_state_chunk_v1,PyTorch State Diffusion Policy,torch_diffusion_policy_baseline,PyTorch state-only 条件扩散动作块,0/5,0/5,0/5,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.mp4,False,0.0893,0.2360,0.0249,False,27.0,0.6908,1.5198,有接触，但接触没有转化为稳定夹紧和移动。,未稳定夹住，物体基本停留在桌面高度。,训练范围和留出范围都不稳定，不能作为可靠闭环策略。,viewer 已慢速限幅；模型原始动作波动仍偏大，失败不能只归因于播放速度。,可写本地 trajectory/ACT 对照组仍主要失败在接触、夹紧、抬升或泛化。,PyTorch state-only conditional diffusion action-chunk baseline，使用 8 帧历史状态、8 步动作块、16 步 DDPM 训练和 4 步 DDIM 快速采样；不是完整视觉 Diffusion Policy。
trajectory_conditioned_chunk_bc_v2,Trajectory-Conditioned Action-Chunk BC / ACT-lite v2,trajectory_conditioned_baseline,8 帧历史状态条件 + 8 步动作块,0/5,0/5,0/5,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.mp4,False,0.1452,0.1536,0.0249,False,27.0,0.7003,1.5189,有接触，但接触没有转化为稳定夹紧和移动。,未稳定夹住，物体基本停留在桌面高度。,训练范围和留出范围都不稳定，不能作为可靠闭环策略。,viewer 已慢速限幅；模型原始动作波动仍偏大，失败不能只归因于播放速度。,可写本地 trajectory/ACT 对照组仍主要失败在接触、夹紧、抬升或泛化。,输入最近 8 帧观测历史并输出 8 步动作块；动作更平滑，但仍未形成稳定夹取。
trajectory_knn_chunk_bc_v1,Trajectory-kNN Action-Chunk BC,trajectory_memory_baseline,8 帧历史状态检索 + kNN 动作块记忆,5/5,0/5,0/5,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.mp4,True,0.0111,0.1780,0.0249,False,27.0,0.7434,1.5128,固定 seed 已到达目标附近，但仍需看批量成功率。,未稳定夹住，物体基本停留在桌面高度。,训练范围有成功但留出和语言任务失败，偏轨迹记忆。,viewer 已慢速限幅；模型原始动作波动仍偏大，失败不能只归因于播放速度。,可写固定 seed 到达目标附近，但不能写成稳定抓取成功。,使用最近 8 帧观测历史检索示范动作块；训练范围可成功，但留出范围失败，说明仍是轨迹记忆型 baseline。
torch_act_state_chunk_v1,PyTorch State Transformer ACT,torch_act_baseline,state-only Transformer encoder/decoder ACT-style,1/5,0/5,0/5,outputs/videos/torch_act_state_chunk_v1_seed0.mp4,True,0.0563,0.3053,0.0249,False,27.0,0.6458,1.5193,固定 seed 已到达目标附近，但仍需看批量成功率。,未稳定夹住，物体基本停留在桌面高度。,训练范围有成功但留出和语言任务失败，偏轨迹记忆。,viewer 已慢速限幅；模型原始动作波动仍偏大，失败不能只归因于播放速度。,可写固定 seed 到达目标附近，但不能写成稳定抓取成功。,PyTorch Transformer encoder/decoder 动作块模型，输入 8 帧状态历史并输出 8 步动作块；训练范围 seed0 成功，但总体仍不稳定。
torch_act_state_chunk_cuda_v1,PyTorch State Transformer ACT CUDA,torch_act_baseline,同结构 CUDA 训练资源对照,0/5,1/5,0/5,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.mp4,False,0.0736,0.2928,0.0249,False,27.0,0.7499,1.5192,有接触，但接触没有转化为稳定夹紧和移动。,未稳定夹住，物体基本停留在桌面高度。,留出范围有少量成功，但语言/空间泛化仍缺失。,viewer 已慢速限幅；模型原始动作波动仍偏大，失败不能只归因于播放速度。,可写本地 trajectory/ACT 对照组仍主要失败在接触、夹紧、抬升或泛化。,同结构的 state-only PyTorch ACT 在 CUDA Torch 2.6.0+cu124 下训练；训练时间约 17.46s，峰值显存约 71.27MB。该版本用于资源/运行环境对照，不代表策略效果提升。
phase_conditioned_torch_act_v1,Phase-Conditioned PyTorch State ACT,torch_act_baseline,state-only Transformer ACT + 离散阶段 one-hot,0/5,0/5,未登记,outputs/videos/phase_conditioned_torch_act_v1_seed0.mp4,False,0.0893,0.1537,0.0249,False,27.0,0.7141,1.5213,有接触，但接触没有转化为稳定夹紧和移动。,未稳定夹住，物体基本停留在桌面高度。,训练范围和留出范围都不稳定，不能作为可靠闭环策略。,viewer 已慢速限幅；模型原始动作波动仍偏大，失败不能只归因于播放速度。,可写本地 trajectory/ACT 对照组仍主要失败在接触、夹紧、抬升或泛化。,在 state-only PyTorch ACT 的 8 帧历史状态上追加 approach/grasp/lift/transfer/place-release 阶段 one-hot；离线误差正常但闭环仍失败，说明显式阶段条件本身不能解决接触、夹紧和抬升。
torch_act_cvae_state_chunk_v1,PyTorch State ACT-CVAE-lite,torch_act_cvae_baseline,state-only Transformer ACT + CVAE latent,0/5,0/5,0/5,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.mp4,False,0.0875,0.3146,0.0249,False,27.0,0.7741,1.5188,有接触，但接触没有转化为稳定夹紧和移动。,未稳定夹住，物体基本停留在桌面高度。,训练范围和留出范围都不稳定，不能作为可靠闭环策略。,viewer 已慢速限幅；模型原始动作波动仍偏大，失败不能只归因于播放速度。,可写本地 trajectory/ACT 对照组仍主要失败在接触、夹紧、抬升或泛化。,State-only Transformer ACT 加入 CVAE latent；离线 zero-latent 误差下降，但闭环仍没有稳定抬升，说明更接近正式 ACT 的结构仍不足。
visual_feature_act_lite_v1,Visual-Feature ACT-lite,visual_feature_act_baseline,MuJoCo RGB pooled features + 语言 token + 本体状态,0/5,0/5,0/5,outputs/videos/visual_feature_act_lite_v1_seed0.mp4,False,0.0893,0.2279,0.0249,False,27.0,0.7624,1.5236,有接触，但接触没有转化为稳定夹紧和移动。,未稳定夹住，物体基本停留在桌面高度。,训练范围和留出范围都不稳定，不能作为可靠闭环策略。,viewer 已慢速限幅；模型原始动作波动仍偏大，失败不能只归因于播放速度。,可写本地 trajectory/ACT 对照组仍主要失败在接触、夹紧、抬升或泛化。,使用 MuJoCo 离线重渲染 RGB pooled features、语言 token 和本体状态训练 Transformer ACT 动作块；不是完整 CNN 视觉 ACT，闭环仍未稳定抬升。
