目标需求,首选入口,辅助入口,打开命令,用途,论文边界
总入口和当前边界,docs/final_experiment_package.md,docs/goal_completion_audit.md；docs/final_artifact_manifest.md；docs/defense_evidence_pack.md,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target package",先确认当前 MuJoCo 实验包有哪些完成项、哪些还只是 planned/readiness。,当前完成的是 MuJoCo 实验包；真实 OpenVLA、Isaac 和真实 WidowX 不能写成已完成。
保留各部分版本名称,docs/version_naming_and_gate_spec.md,docs/version_lineage_index.html；docs/final_method_version_index.md；docs/experiment_versions.json,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target lineage",查正式方法、候选诊断、前置门禁、planned 外部版本和 planned→formal 升级规则。,candidate、handoff、readiness、planned 不能混写成正式方法成功率结果。
逐方法说明,docs/final_method_version_index.md,docs/method_cards.md；docs/method_evidence_gate.md；docs/method_stage_audit.md,"Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\final_method_version_index.md""",逐个查看 25 个正式方法的阶段、artifact、成功率、固定视频、简介和慢速 viewer 命令。,失败方法也要保留；不能只挑成功样例。
按阶段说明,docs/stage_showcase_index.html,docs/stage_reproduction_runbook.md；docs/stage_comparison_report.md；docs/stage_evidence_index.md,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target stage:2 --action print",按 8 个阶段组织任务/数据、普通 BC、Trajectory/ACT、Action-head/PEFT、语言泛化、数据效率、domain randomization 和外部依赖 readiness。,第 8 阶段是 readiness 门禁，不是策略成功率结果。
横向评测比较,docs/core_v2_holdout_comparison_matrix.md；docs/core_v2_pretrained_vlm_action_head_report.md；docs/core_v2_clip_semantic_waypoint_report.md；docs/core_v2_clip_semantic_data_efficiency.md；docs/core_v2_clip_semantic_ood_generalization.md；docs/core_v2_video_evidence.md；docs/method_comparison_dashboard.html,docs/result_matrix.md；docs/evaluation_summary.csv；docs/language_generalization_summary.csv；docs/model_resource_summary.csv；docs/data_efficiency_summary.md,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target comparison",先比较主任务、held-out、语言/空间泛化、参数规模和训练资源；随后对照冻结 CLIP 连续动作头的 0/20 与 CLIP 语义-结构化执行的 20/20，并用固定视频解释控制接口差异。,MuJoCo proxy 结果不能直接推广为真实机器人成功率。
仿真视频片段展示,docs/defense_video_playlist.html,docs/defense_video_cue_sheet.md；docs/video_evidence_gallery.html；docs/video_presentation_storyboard.html；docs/thesis_visual_evidence_index.html,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target playlist",按 claim 或答辩顺序播放 74 条视频证据、阶段短片和候选诊断负例。,视频是定性证据，不能替代成功率、目标距离、资源表和严格抓取审计。
每次运行可视化,docs/showcase_launcher_guide.md,docs/reproducible_command_index.md；docs/final_method_version_index.md；docs/candidate_diagnostic_video_index.md,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target method:trajectory_knn_chunk_bc_v1 --action viewer --dry-run",查看或启动慢速 MuJoCo viewer；正式方法和候选诊断都保留完整启动命令。,viewer 演示只说明单次过程；正式结论仍以批量评测和审计表为准。
论文写作和答辩讲稿,docs/final_defense_narrative_script.md,docs/thesis_results_chapter_draft.md；docs/trajectory_act_conclusion_brief.md；docs/defense_live_runbook.md；docs/defense_qa_playbook.html；docs/defense_slide_outline.md；docs/defense_storyboard.md,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target narrative-script",把研究问题、阶段方法、结果章节、答辩现场顺序、视频播放和论文红线统一成一条中文讲解顺序。,答辩材料不能把 proxy、state-only、lite 或 candidate 改写成完整官方方法。
后续 OpenVLA / Isaac / 真实 WidowX,docs/remaining_experiment_execution_board.md,docs/external_dependency_readiness_audit.md；docs/next_experiment_registry.md；docs/robot_vla_remote_run_pack.md；docs/isaac_domain_randomization_handoff.md；docs/real_widowx_validation_handoff.md,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target remaining-board",按优先级查看 planned 外部版本的执行环境、阻塞条件、回填文件、升级门槛和论文红线。,readiness/handoff 只能写成前置门禁，不能写成真实实验结果。
交付归档和复验,docs/defense_evidence_pack.md,outputs/defense_evidence_pack/defense_evidence_pack_v1.zip；docs/final_artifact_manifest.json；scripts/verify_experiment_artifacts.py,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target evidence-pack",复制或复验当前 MuJoCo 实验包的文档、CSV/JSON、图表、视频和展示入口。,证据包是归档，不代表外部依赖阶段完成。
