顺序,分组,cue_id,标题,媒体类型,媒体文件,建议起点秒,建议终点秒,时长秒,打开命令,备用viewer命令,讲解提示,证据引用,论文红线
1,阶段 claim 播放顺序,C01,任务与数据链路,video,outputs/presentation_clips/01_task_data_oracle.mp4,0.0,10.0,10.0,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\01_task_data_oracle.mp4""",,先证明环境和数据可复现，再说明 expert、structured waypoint 和 replay 不是 learned policy。,docs/evaluation_summary.csv；docs/task_bc_stage_report.md；docs/method_evidence_gate.md,expert、structured waypoint 和 replay 不能写成 learned VLA 或真实机器人验证。
2,阶段 claim 播放顺序,C02,普通 BC 对照,video,outputs/presentation_clips/02_basic_bc_baselines.mp4,0.0,10.0,10.0,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\02_basic_bc_baselines.mp4""",,播放普通 BC 失败和 kNN 轨迹记忆差异，强调简单 BC 对接触、抬升和放置不稳定。,docs/evaluation_summary.csv；docs/task_bc_stage_report.md；docs/failure_mode_taxonomy.md,普通 BC 不能写成语言理解、任务泛化或 VLA 后训练结果。
3,阶段 claim 播放顺序,C03,Trajectory / ACT / Diffusion 对照,video,outputs/presentation_clips/03_trajectory_act_diffusion.mp4,0.0,10.0,10.0,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\03_trajectory_act_diffusion.mp4""",,展示 trajectory-conditioned BC / ACT-style / Diffusion 对照，说明历史观测和动作块接口已建立，但不能写成完整官方 ACT。,docs/trajectory_act_stage_report.md；docs/trajectory_act_stage_report.csv；docs/model_resource_summary.csv,当前是 state-only、pooled visual feature 或小型 CNN 的本地轻量 baseline，不能写成完整官方视觉 ACT 或完整视觉 Diffusion Policy。
4,阶段 claim 播放顺序,C04,Action-head / PEFT proxy,video,outputs/presentation_clips/04_action_head_peft_proxy.mp4,0.0,10.0,10.0,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\04_action_head_peft_proxy.mp4""",,展示 action-head、Adapter、LoRA-style 和 CLIP proxy，强调资源可比但不是真实 pretrained VLA 后训练。,docs/action_head_stage_report.md；docs/action_head_stage_report.csv；docs/model_resource_summary.csv；docs/data_efficiency_summary.csv,Adapter/LoRA-style 是本地 action-head proxy，不是 OpenVLA LoRA；CLIP 不是机器人 VLA；不能写成真实 pretrained VLA 后训练。
5,阶段 claim 播放顺序,C05,语言/空间泛化,video,outputs/presentation_clips/05_language_generalization.mp4,0.0,10.0,10.0,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\05_language_generalization.mp4""",,展示 leftmost-to-bowl 语言/空间任务，强调规则或 frozen feature proxy 不能等同于真实 VLA 语言理解。,docs/language_generalization_summary.csv；docs/video_evidence_index.md；docs/failure_mode_taxonomy.md,规则解析、对象特征、语言 token 或 frozen CLIP action head 不能写成完整 VLM/VLA 语义泛化能力。
6,阶段 claim 播放顺序,C06,数据效率,video,outputs/presentation_clips/02_basic_bc_baselines.mp4,0.0,10.0,10.0,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\02_basic_bc_baselines.mp4""",,图表为主，视频作为普通 BC 和 action-head 小数据行为的辅助定性证据。,docs/data_efficiency_summary.md；docs/data_efficiency_summary.csv；outputs/evaluations/data_efficiency_v2.json；outputs/figures/data_efficiency.svg,不能把 MuJoCo scripted demonstration 的小数据结论直接写成真实机械臂数据效率或真实 VLA 小数据优势。
7,阶段 claim 播放顺序,C07,MuJoCo domain randomization 代理,video,outputs/presentation_clips/06_domain_randomization_proxy.mp4,0.0,10.0,10.0,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\06_domain_randomization_proxy.mp4""",,展示低摩擦和弱夹爪 domain randomization 代理，再打开 Isaac handoff，强调这是 MuJoCo 鲁棒性前置检查和后续 Isaac 回填入口。,docs/domain_randomization_summary.md；docs/domain_randomization_summary.csv；outputs/evaluations/domain_randomization_eval_v1.json；docs/isaac_domain_randomization_handoff.md；outputs/evaluations/isaac_domain_randomization_handoff_v1.json,MuJoCo domain randomization 和 isaac_domain_randomization_handoff_v1 不能写成 Isaac domain randomization 已完成，也不能写成真实 WidowX 迁移成功或失败。
8,阶段 claim 播放顺序,C08,视频展示证据,video,outputs/presentation_clips/00_defense_video_reel.mp4,0.0,70.0,70.0,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\00_defense_video_reel.mp4""",,播放总览 reel 或宫格，说明视频是定性证据，不能替代成功率、距离、资源和泛化表。,docs/video_evidence_index.csv；docs/video_quality_audit.csv；docs/final_artifact_manifest.json,视频只作为定性展示证据，不替代成功率、目标距离、语言泛化、资源规模和 domain randomization 表。
9,阶段 claim 播放顺序,C09,OpenVLA 前置工作,image,data/vla_bridge/openvla_dataset_bridge_v1/preview_grid.png,不适用,不适用,不适用,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\data\vla_bridge\openvla_dataset_bridge_v1\preview_grid.png""",,打开 OpenVLA bridge 预览图、gallery、handoff 门禁、remote run pack 和 result intake，强调数据桥接、远端运行契约、运行包和回填门禁都不是策略训练结果。,docs/openvla_dataset_bridge_report.md；outputs/evaluations/openvla_dataset_bridge_v1.json；docs/openvla_feasibility_report.md；docs/robot_vla_action_head_handoff.md；outputs/evaluations/robot_vla_action_head_handoff_v1.json；docs/robot_vla_remote_run_pack.md；outputs/evaluations/robot_vla_remote_run_pack_v1.json；docs/robot_vla_remote_result_intake.md；outputs/evaluations/robot_vla_remote_result_intake_v1.json,不能写成 OpenVLA LoRA、RT-2、robot_vla_action_head_lite_v1、Isaac 或真实 WidowX 验证已经完成。
10,阶段 claim 播放顺序,C10,方法与阶段统一追踪,video,outputs/presentation_clips/00_defense_video_reel.mp4,0.0,70.0,70.0,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\00_defense_video_reel.mp4""",,播放总览 reel，展示方法、阶段、研究问题和 claim 的整体证据链，再打开真实 WidowX handoff 说明后续 trial 模板。,docs/method_evidence_gate.csv；docs/stage_reproduction_runbook.csv；docs/research_question_showcase_plan.csv；docs/final_artifact_manifest.json；docs/external_dependency_readiness_audit.md；docs/external_dependency_readiness_audit.csv；docs/real_widowx_validation_handoff.md；outputs/evaluations/real_widowx_validation_handoff_v1.json；outputs/real_robot/real_widowx_validation_v1_trial_template.csv,当前完成的是 MuJoCo 实验包；external_dependency_readiness_audit_v1 不是策略成功率结果；真实 OpenVLA、Isaac 和真实 WidowX trial 仍必须作为后续阶段单独登记、评测和保存视频，handoff 不能写成真实验证结果。
11,Core V2 OOD 对照播放顺序,core_v2_ood_hard_distractors_success_v1,7 物体干扰下的空间关系严格成功,video,outputs/videos/clip_semantic_ood_hard_leftmost_cube_seed1300.mp4,0.0,11.9,11.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\clip_semantic_ood_hard_leftmost_cube_seed1300.mp4","$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_clip_semantic_waypoint.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\clip_semantic_waypoint\clip_semantic_waypoint_core_v2_v1_20260721_110325.npz"" --task move_leftmost_cube_to_bowl --complexity hard --seed 1300 --episodes 1 --viewer --duration 45 --speed 0.25 --workspace-profile core_v2 --image-size 224 --camera top_rgb --arm-kp 150 --arm-force 100 --gripper-kp 1200 --gripper-force 200 --friction 5 --place-tcp-z 0.041",展示红蓝绿黄方块、圆柱和绿球同时出现时，策略仍按最左方块关系选择绿色方块并严格抓放入碗；对应 hard 干扰统计为 20/20。,docs/core_v2_clip_semantic_ood_generalization.md；docs/core_v2_clip_semantic_ood_generalization.csv；outputs/evaluations/core_v2_clip_semantic_ood_generalization_v1.json,该成功来自冻结 CLIP 意图 adapter 与 scripted waypoint expert 的分层结构，不能写成端到端 VLA、OpenVLA 或 LoRA 控制成功。
12,Core V2 OOD 对照播放顺序,core_v2_ood_paraphrase_failure_v1,未见同义表达的真实语义误判,video,outputs/videos/clip_semantic_ood_paraphrase_blue_to_red_seed700.mp4,0.0,11.9,11.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\clip_semantic_ood_paraphrase_blue_to_red_seed700.mp4","$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_clip_semantic_waypoint.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\clip_semantic_waypoint\clip_semantic_waypoint_core_v2_v1_20260721_110325.npz"" --task place_blue_cube_red_pad --instruction ""put the azure block on the red disk"" --complexity medium --seed 700 --episodes 1 --viewer --duration 45 --speed 0.25 --workspace-profile core_v2 --image-size 224 --camera top_rgb --arm-kp 150 --arm-force 100 --gripper-kp 1200 --gripper-force 200 --friction 5 --place-tcp-z 0.041",展示指令 put the azure block on the red disk 被误判为红方块到红盘；蓝到红的未见改写总计仅 8/15，不隐藏语言泛化失败。,docs/core_v2_clip_semantic_ood_generalization.md；docs/core_v2_clip_semantic_ood_generalization.csv；outputs/evaluations/core_v2_clip_semantic_ood_generalization_v1.json,该失败说明当前四类 CLIP 意图 adapter 对词汇替换不稳健，不能宣传为通用自然语言理解或端到端 VLA 泛化。
13,Kaggle 远程补充实验,kaggle_clip_semantic_adapter_core_v2_v1,Kaggle 冻结 CLIP 瓶颈适配器的 hard 空间任务闭环,video,outputs/videos/kaggle_clip_semantic_adapter_core_v2_v1_hard_leftmost_seed1900.mp4,0.0,11.9,11.9,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\videos\kaggle_clip_semantic_adapter_core_v2_v1_hard_leftmost_seed1900.mp4""","$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_clip_semantic_waypoint.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\clip_semantic_waypoint\kaggle_clip_semantic_adapter_core_v2_v1_kernel_v3.npz"" --task move_leftmost_cube_to_bowl --complexity hard --seed 1900 --episodes 1 --viewer --duration 60 --speed 0.05 --workspace-profile core_v2 --camera top_rgb --arm-kp 150 --arm-force 100 --gripper-kp 1200 --gripper-force 200 --friction 5 --place-tcp-z 0.041",说明 Kaggle 只训练 1024->16->4 语义适配器，MuJoCo 由结构化 waypoint executor 执行。远程训练使用 79 条示范、63/16 分层训练验证，验证意图准确率 100%；本机同协议四任务 20/20 严格闭环成功。本次 Kaggle P100 与预装 PyTorch 不兼容，脚本实际 CPU fallback，不能说成 GPU 加速。,docs/kaggle_clip_semantic_adapter_core_v2_v1_report.md；outputs/evaluations/kaggle_clip_semantic_adapter_core_v2_v1.json；outputs/kaggle_remote/kaggle_clip_semantic_adapter_core_v2_v1_kernel_v3/kaggle_clip_semantic_adapter_core_v2_v1_metrics.json,这是冻结 VLM 的高层语义决策后训练加结构化执行，不是端到端动作 VLA，不是 OpenVLA LoRA，也没有完成真实机械臂验证。
