claim_id,claim_type,usable_claim,primary_versions,quantitative_evidence,video_evidence,display_entry,paper_redline,evidence_status,missing_evidence
C01,任务与数据链路,MuJoCo WidowX 桌面抓取/放置任务、示范采集、轨迹回放和固定视频导出链路已经打通。,expert_scripted_v1；replay_demo_v1；structured_waypoint_policy_v1,docs/evaluation_summary.csv；docs/task_bc_stage_report.md；docs/method_evidence_gate.md,outputs/presentation_clips/01_task_data_oracle.mp4；outputs/videos/expert_scripted_v1_seed0.mp4；outputs/videos/replay_demo_v1_seed0.mp4,docs/stage_showcase_index.html；docs/stage_reproduction_runbook.md,expert、structured waypoint 和 replay 不能写成 learned VLA 或真实机器人验证。,可写（有证据）,无
C02,普通 BC 对照,Linear BC、MLP BC 等单步 imitation baseline 不能稳定完成闭环抓取；kNN 的训练范围成功更接近轨迹记忆。,linear_bc_v1；knn_bc_v1；mlp_bc_v1,docs/evaluation_summary.csv；docs/task_bc_stage_report.md；docs/failure_mode_taxonomy.md,outputs/presentation_clips/02_basic_bc_baselines.mp4；outputs/videos/linear_bc_v1_seed0.mp4；outputs/videos/knn_bc_v1_seed0.mp4,docs/video_evidence_gallery.html；docs/reproducible_command_index.md,普通 BC 不能写成语言理解、任务泛化或 VLA 后训练结果。,可写（有证据）,无
C03,Trajectory / ACT / Diffusion 对照,trajectory-conditioned BC / ACT-style / Diffusion baseline 已覆盖历史观测、动作块、Transformer、CVAE、小型 CNN 和扩散动作块，但闭环接触与抬升仍不稳定。,trajectory_conditioned_chunk_bc_v2；trajectory_knn_chunk_bc_v1；torch_act_state_chunk_v1；torch_act_cvae_state_chunk_v1；visual_act_cnn_cvae_v1；torch_diffusion_policy_state_chunk_v1,docs/trajectory_act_stage_report.md；docs/trajectory_act_stage_report.csv；docs/model_resource_summary.csv,outputs/presentation_clips/03_trajectory_act_diffusion.mp4；outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.mp4；outputs/videos/torch_act_state_chunk_v1_seed0.mp4,docs/stage_reproduction_runbook.md；docs/failure_mode_taxonomy.md,当前是 state-only、pooled visual feature 或小型 CNN 的本地轻量 baseline，不能写成完整官方视觉 ACT 或完整视觉 Diffusion Policy。,可写（有证据）,无
C04,Action-head / PEFT proxy,本地 action-head、Adapter、LoRA-style 和 CLIP proxy 已建立可比较的资源与闭环评测接口，但当前不能证明真实 VLA 后训练成功。,object_language_action_head_lite_v1；adapter_action_head_lite_v1；lora_action_head_lite_v1；clip_action_head_lite_v1；multi_task_object_action_head_lite_v1,docs/action_head_stage_report.md；docs/action_head_stage_report.csv；docs/model_resource_summary.csv；docs/data_efficiency_summary.csv,outputs/presentation_clips/04_action_head_peft_proxy.mp4；outputs/videos/object_language_action_head_lite_v1_seed1_success_example.mp4,docs/method_evidence_gate.md；docs/research_question_showcase_plan.md,Adapter/LoRA-style 是本地 action-head proxy，不是 OpenVLA LoRA；CLIP 不是机器人 VLA；不能写成真实 pretrained VLA 后训练。,可写（有证据）,无
C05,语言/空间泛化,语言/空间泛化任务已经建立；expert/structured 能完成，普通 learned baseline 和本地 proxy 多数为 0/5，说明当前模型尚未形成真实语言/空间泛化能力。,expert_scripted_language_v1；structured_waypoint_policy_v1；object_language_action_head_lite_v1；clip_action_head_lite_v1；multi_task_object_action_head_lite_v1,docs/language_generalization_summary.csv；docs/video_evidence_index.md；docs/failure_mode_taxonomy.md,outputs/presentation_clips/05_language_generalization.mp4；outputs/showcase/language_generalization_grid.mp4,docs/video_presentation_storyboard.html；docs/video_evidence_gallery.html,规则解析、对象特征、语言 token 或 frozen CLIP action head 不能写成完整 VLM/VLA 语义泛化能力。,可写（有证据）,无
C06,数据效率,10/25/50/92 条 demonstration 的数据效率扫表已完成，可比较 kNN、trajectory-kNN 和 object action head 的小数据行为。,knn_bc；trajectory_knn；object_action_head,docs/data_efficiency_summary.md；docs/data_efficiency_summary.csv；outputs/evaluations/data_efficiency_v2.json；outputs/figures/data_efficiency.svg,outputs/presentation_clips/02_basic_bc_baselines.mp4；outputs/presentation_clips/04_action_head_peft_proxy.mp4,docs/research_question_showcase_plan.md；docs/experiment_dashboard.html,不能把 MuJoCo scripted demonstration 的小数据结论直接写成真实机械臂数据效率或真实 VLA 小数据优势。,可写（有证据）,无
C07,MuJoCo domain randomization 代理,MuJoCo 摩擦、执行器增益、力限和夹爪力度扰动代理评测已经完成，并已形成 Isaac domain randomization 运行交接门禁，可作为 sim-to-real 前置鲁棒性检查和后续 Isaac 回填模板。,structured_waypoint_policy_v1；trajectory_knn_chunk_bc_v1；visual_act_cnn_cvae_v1；domain_randomization_eval_v1；isaac_domain_randomization_handoff_v1,docs/domain_randomization_summary.md；docs/domain_randomization_summary.csv；outputs/evaluations/domain_randomization_eval_v1.json；docs/isaac_domain_randomization_handoff.md；outputs/evaluations/isaac_domain_randomization_handoff_v1.json,outputs/presentation_clips/06_domain_randomization_proxy.mp4；outputs/videos/domain_randomization_trajectory_knn_low_friction_seed0.mp4；outputs/videos/domain_randomization_visual_act_cnn_cvae_low_friction_seed0.mp4,docs/research_question_showcase_plan.md；docs/isaac_domain_randomization_handoff.md；docs/video_evidence_gallery.html,MuJoCo domain randomization 和 isaac_domain_randomization_handoff_v1 不能写成 Isaac domain randomization 已完成，也不能写成真实 WidowX 迁移成功或失败。,可写（有证据）,无
C08,视频展示证据,当前 74 条视频证据、25 个单方法视频、3 个宫格视频和 8 个答辩阶段视频均已进入索引和质量审计，可用于答辩展示。,video_evidence_index_v1；video_quality_audit_v1；presentation_video_pack_v1；video_presentation_storyboard_v1,docs/video_evidence_index.csv；docs/video_quality_audit.csv；docs/final_artifact_manifest.json,outputs/presentation_clips/00_defense_video_reel.mp4；outputs/showcase/all_registered_methods_grid.mp4；outputs/showcase/core_methods_grid.mp4,docs/video_evidence_gallery.html；docs/video_presentation_storyboard.html,视频只作为定性展示证据，不替代成功率、目标距离、语言泛化、资源规模和 domain randomization 表。,可写（有证据）,无
C09,OpenVLA 前置工作,OpenVLA 数据桥接、本地可行性检查、robot VLA action-head 交接门禁、远端运行包和结果回填门禁已经完成，说明当前数据能导出为 image/instruction/state/action 样本，本机不适合直接训练真实 OpenVLA LoRA，但后续远端运行的输入/输出契约、命令模板、结果回填 schema 和入包检查已经明确。,openvla_dataset_bridge_v1；openvla_feasibility_check_v1；openvla_bridge_gallery_v1；robot_vla_action_head_handoff_v1；robot_vla_remote_run_pack_v1；robot_vla_remote_result_intake_v1,docs/openvla_dataset_bridge_report.md；outputs/evaluations/openvla_dataset_bridge_v1.json；docs/openvla_feasibility_report.md；docs/robot_vla_action_head_handoff.md；outputs/evaluations/robot_vla_action_head_handoff_v1.json；docs/robot_vla_remote_run_pack.md；outputs/evaluations/robot_vla_remote_run_pack_v1.json；docs/robot_vla_remote_result_intake.md；outputs/evaluations/robot_vla_remote_result_intake_v1.json,data/vla_bridge/openvla_dataset_bridge_v1/preview_grid.png,docs/openvla_bridge_gallery.html；docs/robot_vla_action_head_handoff.md；docs/robot_vla_remote_run_pack.md；docs/robot_vla_remote_result_intake.md；docs/next_experiment_registry.md,不能写成 OpenVLA LoRA、RT-2、robot_vla_action_head_lite_v1、Isaac 或真实 WidowX 验证已经完成。,可写（有证据）,无
C10,方法与阶段统一追踪,25 个正式方法版本已经通过方法证据门禁，8 个阶段有复现实验手册，6 个研究问题有展示选择表，当前 MuJoCo 实验包可以按方法、阶段和研究问题三条线说明；外部依赖 readiness audit、真实 WidowX 验证协议和 trial 模板也已进入下一阶段门禁。,method_evidence_gate_v1；stage_reproduction_runbook_v1；research_question_showcase_plan_v1；final_artifact_manifest_v1；external_dependency_readiness_audit_v1；real_widowx_validation_handoff_v1,docs/method_evidence_gate.csv；docs/stage_reproduction_runbook.csv；docs/research_question_showcase_plan.csv；docs/final_artifact_manifest.json；docs/external_dependency_readiness_audit.md；docs/external_dependency_readiness_audit.csv；docs/real_widowx_validation_handoff.md；outputs/evaluations/real_widowx_validation_handoff_v1.json；outputs/real_robot/real_widowx_validation_v1_trial_template.csv,outputs/presentation_clips/00_defense_video_reel.mp4；outputs/showcase/all_registered_methods_grid.mp4,docs/final_experiment_package.md；docs/stage_showcase_index.html；docs/external_dependency_readiness_audit.md；docs/real_widowx_validation_handoff.md,当前完成的是 MuJoCo 实验包；external_dependency_readiness_audit_v1 不是策略成功率结果；真实 OpenVLA、Isaac 和真实 WidowX trial 仍必须作为后续阶段单独登记、评测和保存视频，handoff 不能写成真实验证结果。,可写（有证据）,无
