序号,版本,阶段,方法,artifact,主任务训练范围,主任务留出范围,语言/空间泛化,可训练参数,模型大小MB,固定视频,入包状态,简介,论文边界,主任务viewer命令,语言viewer命令
1,expert_scripted_v1,scripted_oracle,Scripted Expert,scripts/run_expert.py,20/20,5/5,4/5,0,0.006,outputs/videos/expert_scripted_v1_seed0.mp4,通过,可靠 oracle，用于生成示范数据。,可靠 oracle，用于生成示范数据。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_expert.py"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --viewer --duration 60 --speed 0.05 --min-success-rate 0",
2,structured_waypoint_policy_v1,structured_control_baseline,Structured Waypoint Policy,outputs/structured_waypoint_policy/structured_waypoint_policy_20260720_065456.npz,5/5,4/5,4/5,0,0.001,outputs/videos/structured_waypoint_policy_v1_seed0.mp4,通过,单次执行的结构化 waypoint 控制策略，使用目标物和目标区域状态做阶段化控制；不是 learned VLA。,单次执行的结构化 waypoint 控制策略，使用目标物和目标区域状态做阶段化控制；不是 learned VLA。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_structured_waypoint_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\structured_waypoint_policy\structured_waypoint_policy_20260720_065456.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_structured_waypoint_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\structured_waypoint_policy\structured_waypoint_policy_20260720_065456.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05"
3,replay_demo_v1,data_verification,Replay,data/demos/place_blue_cube_blue_pad_medium_20260702_051752/episodes/episode_000000_seed_0.npz,replay_success=True,not_applicable,不适用,0,0.775,outputs/videos/replay_demo_v1_seed0.mp4,通过,验证保存轨迹能复现 MuJoCo 执行过程。,验证保存轨迹能复现 MuJoCo 执行过程。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\replay_demo.py"" --run-dir ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\data\demos\place_blue_cube_blue_pad_medium_20260702_051752"" --viewer --duration 60 --speed 0.05 --episode-index 0 --max-steps 2840",
4,linear_bc_v1,weak_bc_baseline,Linear BC,outputs/bc/bc_linear_20260702_051909.npz,0/5,0/5,0/5,1015,0.006,outputs/videos/linear_bc_v1_seed0.mp4,通过,失败 baseline，说明离线 MSE 不能代表闭环控制效果。,失败 baseline，说明离线 MSE 不能代表闭环控制效果。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_bc_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\bc\bc_linear_20260702_051909.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.05 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_bc_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\bc\bc_linear_20260702_051909.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.05 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
5,knn_bc_v1,non_neural_baseline,kNN BC,outputs/knn_bc/knn_bc_20260702_051907.npz,5/5,1/5,0/5,0,14.980,outputs/videos/knn_bc_v1_seed0.mp4,通过,训练范围成功，泛化较弱。,训练范围成功，泛化较弱。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\knn_bc\knn_bc_20260702_051907.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.02 --min-candidates 128 --action-alpha 1.0 --max-arm-delta 0.05 --max-gripper-delta 0.002 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\knn_bc\knn_bc_20260702_051907.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.02 --min-candidates 128 --action-alpha 1.0 --max-arm-delta 0.05 --max-gripper-delta 0.002 --stop-on-unsafe --log-every 500"
6,mlp_bc_v1,neural_bc_baseline,MLP BC,outputs/mlp_bc/mlp_bc_20260702_053322.npz,0/5,1/5,0/5,104711,0.376,outputs/videos/mlp_bc_v1_seed0.mp4,通过,单步动作回归不足以稳定抓取。,单步动作回归不足以稳定抓取。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_mlp_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\mlp_bc\mlp_bc_20260702_053322.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.05 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_mlp_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\mlp_bc\mlp_bc_20260702_053322.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.05 --max-arm-delta 0.01 --max-gripper-delta 0.0005 --stop-on-unsafe --log-every 500"
7,act_lite_chunk_bc_v1,trajectory_conditioned_baseline,Action-Chunk BC / ACT-lite,outputs/chunk_bc/chunk_bc_20260702_072710.npz,0/5,0/5,0/5,117304,0.421,outputs/videos/act_lite_chunk_bc_v1_seed0.mp4,通过,短动作块仍不足，需要完整 ACT 或 Diffusion Policy。,短动作块仍不足，需要完整 ACT 或 Diffusion Policy。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\chunk_bc_20260702_072710.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\chunk_bc_20260702_072710.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
8,diffusion_policy_lite_v1,diffusion_policy_baseline,Diffusion Policy-lite,outputs/diffusion_policy/diffusion_policy_lite_20260720_042215.npz,0/5,0/5,0/5,132408,0.476,outputs/videos/diffusion_policy_lite_v1_seed0.mp4,通过,NumPy DDPM 风格动作块 baseline，不是完整官方 PyTorch Diffusion Policy。,NumPy DDPM 风格动作块 baseline，不是完整官方 PyTorch Diffusion Policy。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_diffusion_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\diffusion_policy\diffusion_policy_lite_20260720_042215.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --deterministic --action-alpha 0.8 --max-arm-delta 0.03 --max-gripper-delta 0.001 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_diffusion_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\diffusion_policy\diffusion_policy_lite_20260720_042215.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --deterministic --action-alpha 0.8 --max-arm-delta 0.03 --max-gripper-delta 0.001 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
9,torch_diffusion_policy_state_chunk_v1,torch_diffusion_policy_baseline,PyTorch State Diffusion Policy,outputs/torch_diffusion_policy/torch_diffusion_policy_state_chunk_20260720_101928.pt,0/5,0/5,0/5,183111,0.732,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.mp4,通过,PyTorch state-only conditional diffusion action-chunk baseline，使用 8 帧历史状态、8 步动作块、16 步 DDPM 训练和 4 步 DDIM 快速采样；不是完整视觉 Diffusion Policy。,PyTorch state-only conditional diffusion action-chunk baseline，使用 8 帧历史状态、8 步动作块、16 步 DDPM 训练和 4 步 DDIM 快速采样；不是完整视觉 Diffusion Policy。,"$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_diffusion_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_diffusion_policy\torch_diffusion_policy_state_chunk_20260720_101928.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --sample-steps 4 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 8 --temporal-ensemble --ensemble-decay 0.1 --deterministic --stop-on-unsafe --log-every 500","$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_diffusion_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_diffusion_policy\torch_diffusion_policy_state_chunk_20260720_101928.pt"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --sample-steps 4 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 8 --temporal-ensemble --ensemble-decay 0.1 --deterministic --stop-on-unsafe --log-every 500"
10,trajectory_conditioned_chunk_bc_v2,trajectory_conditioned_baseline,Trajectory-Conditioned Action-Chunk BC / ACT-lite v2,outputs/chunk_bc/trajectory_chunk_bc_20260720_043500.npz,0/5,0/5,0/5,375352,1.350,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.mp4,通过,输入最近 8 帧观测历史并输出 8 步动作块；动作更平滑，但仍未形成稳定夹取。,输入最近 8 帧观测历史并输出 8 步动作块；动作更平滑，但仍未形成稳定夹取。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\trajectory_chunk_bc_20260720_043500.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500","& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\trajectory_chunk_bc_20260720_043500.npz"" --task move_leftmost_to_bowl --complexity language --seed 200 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
