分组,版本,方法,结构定位,训练范围,留出范围,语言/空间泛化,固定视频,固定视频结果,抓取标志,物体高度,可写结论,论文红线,推荐展示命令
trajectory-conditioned BC / ACT 正式对照,act_lite_chunk_bc_v1,Action-Chunk BC / ACT-lite,轻量 MLP action-chunk / ACT-lite,0/5,0/5,0/5,outputs/videos/act_lite_chunk_bc_v1_seed0.mp4,False,False,0.0249,短动作块回归不能稳定完成闭环抓取，适合作为普通 action-chunk baseline。,短动作块仍不足，需要完整 ACT 或 Diffusion Policy。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\chunk_bc_20260702_072710.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
Diffusion 相邻对照,diffusion_policy_lite_v1,Diffusion Policy-lite,NumPy DDPM 风格动作块扩散 baseline,0/5,0/5,0/5,outputs/videos/diffusion_policy_lite_v1_seed0.mp4,False,False,0.0249,NumPy-lite 扩散动作块仍无法解决接触与抬升，不能代表完整 Diffusion Policy。,NumPy DDPM 风格动作块 baseline，不是完整官方 PyTorch Diffusion Policy。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_diffusion_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\diffusion_policy\diffusion_policy_lite_20260720_042215.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --deterministic --action-alpha 0.8 --max-arm-delta 0.03 --max-gripper-delta 0.001 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
Diffusion 相邻对照,torch_diffusion_policy_state_chunk_v1,PyTorch State Diffusion Policy,PyTorch state-only 条件扩散动作块,0/5,0/5,0/5,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.mp4,False,False,0.0249,升级到 PyTorch state-only 条件扩散后闭环仍失败，说明缺少视觉/任务结构时扩散建模不足。,PyTorch state-only conditional diffusion action-chunk baseline，使用 8 帧历史状态、8 步动作块、16 步 DDPM 训练和 4 步 DDIM 快速采样；不是完整视觉 Diffusion Policy。,"$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_diffusion_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_diffusion_policy\torch_diffusion_policy_state_chunk_20260720_101928.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --sample-steps 4 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 8 --temporal-ensemble --ensemble-decay 0.1 --deterministic --stop-on-unsafe --log-every 500"
trajectory-conditioned BC / ACT 正式对照,trajectory_conditioned_chunk_bc_v2,Trajectory-Conditioned Action-Chunk BC / ACT-lite v2,8 帧历史状态条件 + 8 步动作块,0/5,0/5,0/5,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.mp4,False,False,0.0249,加入历史轨迹让动作更平滑，但仍主要失败在接触、夹紧和抬升阶段。,输入最近 8 帧观测历史并输出 8 步动作块；动作更平滑，但仍未形成稳定夹取。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_chunk_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\chunk_bc\trajectory_chunk_bc_20260720_043500.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
trajectory-conditioned BC / ACT 正式对照,trajectory_knn_chunk_bc_v1,Trajectory-kNN Action-Chunk BC,8 帧历史状态检索 + kNN 动作块记忆,5/5,0/5,0/5,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.mp4,True,False,0.0249,训练范围成功率高，但留出和语言任务失败，说明它更像轨迹记忆而不是泛化策略。,使用最近 8 帧观测历史检索示范动作块；训练范围可成功，但留出范围失败，说明仍是轨迹记忆型 baseline。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_trajectory_knn_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\trajectory_knn_bc\trajectory_knn_chunk_bc_20260720_053423.npz"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --k 3 --phase-window 0.03 --min-candidates 256 --history-decay 0.25 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 1 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
trajectory-conditioned BC / ACT 正式对照,torch_act_state_chunk_v1,PyTorch State Transformer ACT,state-only Transformer encoder/decoder ACT-style,1/5,0/5,0/5,outputs/videos/torch_act_state_chunk_v1_seed0.mp4,True,False,0.0249,state-only Transformer ACT-style 有个别训练范围成功，但总体仍不稳定。,PyTorch Transformer encoder/decoder 动作块模型，输入 8 帧状态历史并输出 8 步动作块；训练范围 seed0 成功，但总体仍不稳定。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_20260720_055409.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
trajectory-conditioned BC / ACT 正式对照,torch_act_state_chunk_cuda_v1,PyTorch State Transformer ACT CUDA,同结构 CUDA 训练资源对照,0/5,1/5,0/5,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.mp4,False,False,0.0249,CUDA 训练改善的是运行资源记录，不代表策略效果提升。,同结构的 state-only PyTorch ACT 在 CUDA Torch 2.6.0+cu124 下训练；训练时间约 17.46s，峰值显存约 71.27MB。该版本用于资源/运行环境对照，不代表策略效果提升。,"$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\torch_act_state_chunk_cuda_20260720_095442.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
trajectory-conditioned BC / ACT 正式对照,phase_conditioned_torch_act_v1,Phase-Conditioned PyTorch State ACT,state-only Transformer ACT + 离散阶段 one-hot,0/5,0/5,未登记,outputs/videos/phase_conditioned_torch_act_v1_seed0.mp4,False,False,0.0249,加入离散阶段 one-hot 后闭环仍失败，说明阶段条件本身不能解决接触、夹紧和抬升控制。,在 state-only PyTorch ACT 的 8 帧历史状态上追加 approach/grasp/lift/transfer/place-release 阶段 one-hot；离线误差正常但闭环仍失败，说明显式阶段条件本身不能解决接触、夹紧和抬升。,"$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act\phase_conditioned_torch_act_20260720_132228.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
trajectory-conditioned BC / ACT 正式对照,torch_act_cvae_state_chunk_v1,PyTorch State ACT-CVAE-lite,state-only Transformer ACT + CVAE latent,0/5,0/5,0/5,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.mp4,False,False,0.0249,CVAE latent 降低离线重构误差，但没有转化为稳定闭环成功。,State-only Transformer ACT 加入 CVAE latent；离线 zero-latent 误差下降，但闭环仍没有稳定抬升，说明更接近正式 ACT 的结构仍不足。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_torch_act_cvae_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\torch_act_cvae\torch_act_cvae_state_chunk_20260720_084842.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
trajectory-conditioned BC / ACT 正式对照,visual_feature_act_lite_v1,Visual-Feature ACT-lite,MuJoCo RGB pooled features + 语言 token + 本体状态,0/5,0/5,0/5,outputs/videos/visual_feature_act_lite_v1_seed0.mp4,False,False,0.0249,pooled RGB 视觉代理不等价于完整 CNN/Transformer 视觉 ACT。,使用 MuJoCo 离线重渲染 RGB pooled features、语言 token 和本体状态训练 Transformer ACT 动作块；不是完整 CNN 视觉 ACT，闭环仍未稳定抬升。,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\run_visual_feature_act_policy.py"" --model ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\visual_feature_act\visual_feature_act_lite_20260720_091256.pt"" --task place_blue_cube_blue_pad --complexity medium --seed 0 --episodes 1 --steps 2840 --viewer --duration 60 --speed 0.05 --action-alpha 0.25 --max-arm-delta 0.012 --max-gripper-delta 0.0005 --replan-interval 4 --temporal-ensemble --ensemble-decay 0.1 --stop-on-unsafe --log-every 500"
