version,category,registry_status,readiness_status,formal_method_allowed_now,blocking_condition,required_next_action,required_return_artifacts,source_evidence,paper_boundary
openvla_dataset_bridge_v1,vla_data_bridge,completed_prerequisite,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,data/vla_bridge/openvla_dataset_bridge_v1/samples.jsonl；docs/openvla_bridge_gallery.html；data/vla_bridge/openvla_dataset_bridge_v1/preview_grid.png,demo_place_blue_cube_blue_pad_v1,只能写成数据格式桥接，不能写成 OpenVLA LoRA 或真实机器人 VLA 后训练完成
openvla_feasibility_check_v1,runtime_feasibility,completed_prerequisite,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/evaluations/openvla_feasibility_check_v1.json；not_applicable,openvla_dataset_bridge_v1,只能写成本地可行性审计，不能写成真实 OpenVLA 训练结果
robot_vla_action_head_handoff_v1,robot_vla_handoff_gate,completed_prerequisite,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,docs/robot_vla_action_head_handoff.md；outputs/evaluations/robot_vla_action_head_handoff_v1.json；not_applicable,openvla_dataset_bridge_v1；openvla_feasibility_check_v1,只能写成真实 robot VLA action-head 运行交接门禁，不能写成 robot_vla_action_head_lite_v1、OpenVLA LoRA 或 OpenVLA-OFT 已完成
robot_vla_remote_run_pack_v1,robot_vla_remote_run_pack,completed_prerequisite,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,docs/robot_vla_remote_run_pack.md；outputs/evaluations/robot_vla_remote_run_pack_v1.json；outputs/robot_vla_remote_run_pack/robot_vla_remote_run_pack_v1.zip；not_applicable,openvla_dataset_bridge_v1；openvla_feasibility_check_v1；robot_vla_action_head_handoff_v1,只能写成真实 robot VLA action-head 的远端运行包，不能写成 robot_vla_action_head_lite_v1、OpenVLA LoRA 或 OpenVLA-OFT 已完成
robot_vla_remote_result_intake_v1,robot_vla_result_intake_gate,completed_prerequisite,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,docs/robot_vla_remote_result_intake.md；docs/robot_vla_remote_result_intake.csv；outputs/evaluations/robot_vla_remote_result_intake_v1.json；not_applicable,robot_vla_remote_run_pack_v1,只能写成真实 robot VLA action-head 的结果回填门禁，不能写成 robot_vla_action_head_lite_v1、OpenVLA LoRA 或 OpenVLA-OFT 已完成
trajectory_phase_template_bc_v1_candidate,trajectory_phase_template_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/trajectory_phase_template_bc/trajectory_phase_template_bc_20260720_160007.npz；docs/trajectory_phase_template_bc_report.md；outputs/evaluations/trajectory_phase_template_bc_v1.json；outputs/videos/trajectory_phase_template_bc_v1_candidate_seed1.mp4,trajectory_conditioned_chunk_bc_v2；trajectory_act_failure_diagnosis_v1；candidate_diagnostic_video_index_v1,只能作为 ACT/trajectory-conditioned 路线负例，不能写成可靠 ACT baseline、稳定抓取或真实 VLA 后训练结果
trajectory_prior_residual_bc_v1_candidate,trajectory_prior_residual_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/trajectory_prior_residual_bc/trajectory_prior_residual_bc_v1_candidate_20260721_040050.npz；docs/trajectory_prior_residual_bc_report.md；outputs/evaluations/trajectory_prior_residual_bc_v1_candidate.json；outputs/videos/trajectory_prior_residual_bc_v1_candidate_seed0.mp4,trajectory_conditioned_chunk_bc_v2；structured_waypoint_policy_v1；strict_grasp_success_audit_v1,只能作为 trajectory-conditioned BC / ACT 路线的结构化先验诊断候选，不能写成纯 BC、完整官方 ACT、OpenVLA/OFT 或真实 WidowX 结果
timing_aware_trajectory_prior_residual_bc_v1_candidate,timing_aware_trajectory_prior_residual_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/timing_aware_trajectory_prior_residual_bc/timing_aware_trajectory_prior_residual_bc_v1_candidate_20260721_070442.npz；docs/timing_aware_trajectory_prior_residual_bc_report.md；outputs/evaluations/timing_aware_trajectory_prior_residual_bc_v1_candidate.json；outputs/videos/timing_aware_trajectory_prior_residual_bc_v1_candidate_seed0.mp4,trajectory_prior_residual_bc_v1_candidate；gripper_timing_contact_probe_v1_candidate；strict_grasp_success_audit_v1,只能写成 timing-aware residual 控制诊断，不能写成完整 ACT、稳定 learned grasp、OpenVLA/OFT 或真实 WidowX 结果
preference_trajectory_post_training_v1_candidate,post_training_negative_control,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/preference_post_training/preference_trajectory_post_training_20260720_165005.npz；outputs/videos/preference_trajectory_post_training_v1_candidate_seed0.mp4,trajectory_knn_chunk_bc_v1；candidate_diagnostic_video_index_v1,只能写成偏好加权轨迹后训练候选负例，不能写成在线 RL、真实人类偏好优化或 OpenVLA 后训练成功
grasp_gated_trajectory_act_v1_candidate,trajectory_act_control_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,docs/grasp_gated_trajectory_act_report.md；outputs/evaluations/grasp_gated_trajectory_act_v1_candidate.json；outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.mp4；outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.mp4,trajectory_conditioned_chunk_bc_v2；torch_act_state_chunk_v1；candidate_diagnostic_video_index_v1；strict_grasp_success_audit_v1,只能写成抓取门控和慢速动作诊断负例，不能写成 trajectory-conditioned BC 或 ACT 已稳定抓取，也不能写成新的正式学习方法
phase_weighted_torch_act_v1_candidate,trajectory_act_loss_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,docs/phase_weighted_torch_act_report.md；outputs/evaluations/phase_weighted_torch_act_v1_candidate.json；outputs/torch_act/phase_weighted_torch_act_v1_candidate_20260720_225108.pt；outputs/videos/phase_weighted_torch_act_v1_candidate_seed0.mp4,phase_conditioned_torch_act_v1；trajectory_act_failure_diagnosis_v1；candidate_diagnostic_video_index_v1,只能写成阶段加权 ACT 训练诊断负例，不能写成完整 ACT、稳定抓取成功或真实 VLA 后训练结果
contact_phase_gated_torch_act_v1_candidate,trajectory_act_contact_phase_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/torch_act/contact_phase_gated_torch_act_v1_candidate_20260721_003304.pt；docs/contact_phase_gated_torch_act_report.md；outputs/evaluations/contact_phase_gated_torch_act_v1_candidate.json；outputs/videos/contact_phase_gated_torch_act_v1_candidate_seed0.mp4,phase_weighted_torch_act_v1_candidate；grasp_gated_trajectory_act_v1_candidate；strict_grasp_success_audit_v1,只能写成 Torch ACT-style 接触/阶段诊断负例，不能写成完整官方 ACT、稳定抓取成功、OpenVLA/OFT 或真实 WidowX 结果
contact_aware_phase_gated_torch_act_v1_candidate,trajectory_act_contact_geometry_diagnostic,completed_diagnostic,supporting_evidence_ready,否,这是前置门禁或诊断负例，不是可登记为正式策略结果的版本。,作为后续阶段依赖继续保留；新增结果后重新运行本审计。,outputs/torch_act/contact_aware_phase_gated_torch_act_v1_candidate_20260721_004944.pt；docs/contact_aware_phase_gated_torch_act_report.md；outputs/evaluations/contact_aware_phase_gated_torch_act_v1_candidate.json；outputs/videos/contact_aware_phase_gated_torch_act_v1_candidate_seed0.mp4,contact_phase_gated_torch_act_v1_candidate；contact_aware_trajectory_knn_v1_candidate；strict_grasp_success_audit_v1,只能写成 trajectory-conditioned / ACT-style 相对几何消融负例，不能写成完整官方 ACT、稳定抓取成功、OpenVLA/OFT 或真实 WidowX 结果
