顺序,讲解段落,对应研究问题/阶段,建议时长,推荐打开命令,推荐证据,可说结论,讲解稿,论文红线,承接下一步
1,总目标、证据范围和论文边界,总目标；所有阶段的入口,45-60 秒,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target package",docs/final_experiment_package.md；docs/goal_completion_audit.md；docs/final_showcase_handoff.md,当前归档的是 MuJoCo 阶段实验包：已登记 25 个正式方法、74 条视频证据、697 个证据包文件。,本课题围绕有限算力、小规模示范数据和有限机械臂时间下的轻量化 VLA 后训练展开。当前可完整展示的是 MuJoCo 桌面抓取实验包，包括任务环境、示范采集、普通 BC、trajectory-conditioned BC / ACT-style、Diffusion、action-head/PEFT proxy、语言泛化和 domain randomization 代理评测。,不能把当前材料写成真实 OpenVLA、Isaac 或真实 WidowX 已完成；这些仍是 readiness、handoff 或下一阶段实验。,转入任务环境和数据链路，先说明比较对象在哪里运行、如何复现。
2,任务、数据和可复现实验链路,阶段 1：任务/数据/普通 BC 前置,60 秒,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target claim:C01",outputs/presentation_clips/01_task_data_oracle.mp4；docs/evaluation_summary.csv；docs/task_bc_stage_report.md；docs/method_evidence_gate.md,桌面任务、物体颜色、目标盘和 scripted/waypoint/replay 链路已经固定，后续方法共享同一类评测指标。,先展示蓝色方块放到蓝色盘、颜色/位置变化和 replay 复现。这里的重点不是学习算法本身，而是把环境、任务、seed、轨迹、成功失败和 viewer 回放链路固定下来，为后面所有方法提供统一对照。,expert、structured waypoint 和 replay 不能写成 learned VLA 或真实机器人验证。,有了可复现任务后，再看普通模仿学习的下限表现。
3,普通 BC baseline 和失败模式,阶段 1-2：Linear BC、MLP BC、kNN BC,60-75 秒,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target claim:C02",outputs/presentation_clips/02_basic_bc_baselines.mp4；docs/evaluation_summary.csv；docs/task_bc_stage_report.md；docs/failure_mode_taxonomy.md,普通简单 BC 在接触、夹紧、抬升和放置上不稳定，能作为必要的低阶对照。,这里重点展示线性 BC、MLP BC 和 kNN/轨迹记忆的差别。简单 BC 的失败不是运行速度问题单独导致的，而是策略缺少稳定的接触阶段表达；因此后面需要历史轨迹、动作块、阶段条件或轻量 action head。,普通 BC 不能写成语言理解、任务泛化或 VLA 后训练结果。,引出 trajectory-conditioned BC / ACT：把历史观测和动作块作为更合理的 baseline。
4,trajectory-conditioned BC / ACT / Diffusion 对照,阶段 3：Trajectory-conditioned BC / ACT-style / Diffusion,90 秒,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target trajectory-act-brief",docs/trajectory_act_conclusion_brief.md；docs/trajectory_act_conclusion_brief.csv；outputs/presentation_clips/03_trajectory_act_diffusion.mp4；docs/trajectory_act_stage_report.md；docs/trajectory_act_stage_report.csv；docs/model_resource_summary.csv,trajectory-conditioned BC / ACT-style 对照链路已完成并登记 11 行结论摘要，但当前结果仍显示抓取接触和泛化不稳定。,这一段说明已经实现 trajectory-conditioned chunk BC、trajectory-kNN、Torch ACT state chunk、ACT-CVAE、visual ACT-lite 和 Diffusion 相邻对照。核心结论是接口和评测链路已经建立，但 state-only 或轻量视觉特征版本不能自动解决夹爪接触、抬升和稳定抓取问题。,当前是 state-only、pooled visual feature 或小型 CNN 的本地轻量 baseline，不能写成完整官方视觉 ACT 或完整视觉 Diffusion Policy。,在此基础上转向更贴近轻量 VLA 后训练路线的 action-head/PEFT proxy。
5,action head / Adapter / LoRA / VLM proxy,阶段 4：轻量化 VLA 后训练 proxy,75 秒,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target claim:C04",outputs/presentation_clips/04_action_head_peft_proxy.mp4；docs/action_head_stage_report.md；docs/action_head_stage_report.csv；docs/model_resource_summary.csv；docs/data_efficiency_summary.csv,action-head/Adapter/LoRA/VLM proxy 可以用于比较可训练参数、资源和语言条件接口，但当前仍是本地 proxy，不是真实 OpenVLA 后训练。,这一段把研究主线拉回轻量化后训练：不是从零训练大模型，而是在现有表征或代理表征上训练 action head、Adapter 或 LoRA 风格模块。展示时强调资源表和成功率表并列，说明为什么它适合有限算力条件下的毕业设计。,Adapter/LoRA-style 是本地 action-head proxy，不是 OpenVLA LoRA；CLIP 不是机器人 VLA；不能写成真实 pretrained VLA 后训练。,随后说明语言和空间泛化，回答 VLA 路线为什么值得做。
6,语言/空间泛化能力,研究问题 3：VLA 是否更会理解语言,60 秒,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target claim:C05",outputs/presentation_clips/05_language_generalization.mp4；docs/language_generalization_summary.csv；docs/video_evidence_index.md；docs/failure_mode_taxonomy.md,语言/空间泛化测试已经纳入统一评测，但当前可写的是本地语言条件 proxy 的差异，不能扩大到真实 VLA 语义能力。,这里展示训练指令和测试指令不完全相同的情况，例如颜色同义词、leftmost 目标等。讲解时把成功率表和视频片段分开：视频用于定性说明，真正结论以 CSV 的批量评测为准。,规则解析、对象特征、语言 token 或 frozen CLIP action head 不能写成完整 VLM/VLA 语义泛化能力。,接着回答有限数据条件下，不同方法的数据效率差异。
7,数据效率、资源消耗和横向比较,研究问题 1-2：省算力、省数据,75 秒,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target comparison",docs/method_comparison_dashboard.html；docs/data_efficiency_summary.md；docs/model_resource_summary.csv；outputs/presentation_clips/02_basic_bc_baselines.mp4；docs/data_efficiency_summary.md；docs/data_efficiency_summary.csv；outputs/evaluations/data_efficiency_v2.json；outputs/figures/data_efficiency.svg,当前比较框架能同时看成功率、留出任务、语言/空间泛化、参数量、训练时间和固定视频。,这一段不播放太多视频，而是打开方法比较 dashboard，说明每种方法不是单独看一次演示，而是按相同任务、seed、指标和资源记录做横向比较。数据效率部分用于支持有限示范数据条件下的研究问题。,不能把 MuJoCo scripted demonstration 的小数据结论直接写成真实机械臂数据效率或真实 VLA 小数据优势。,再说明仿真扰动和 sim-to-real 计划，避免把 MuJoCo 结果过度外推。
8,MuJoCo domain randomization 与外部依赖 readiness,研究问题 4：仿真迁移和真实机械臂验证,60-75 秒,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target claim:C07",outputs/presentation_clips/06_domain_randomization_proxy.mp4；docs/domain_randomization_summary.md；docs/domain_randomization_summary.csv；outputs/evaluations/domain_randomization_eval_v1.json；docs/isaac_domain_randomization_handoff.md；outputs/evaluations/isaac_domain_randomization_handoff_v1.json；docs/external_dependency_readiness_audit.md；docs/isaac_domain_randomization_handoff.md；docs/real_widowx_validation_handoff.md,MuJoCo 扰动代理评测已经完成；Isaac、真实 WidowX 和真实 OpenVLA 仍处在 handoff/readiness 阶段。,这一段要主动划清边界：domain randomization 已经在 MuJoCo 中做了代理测试，但高保真 Isaac 和真实 WidowX 还没有产生真实成功率。可以展示 handoff 文档，说明后续会沿用同一套字段回填真实实验。,MuJoCo domain randomization 和 isaac_domain_randomization_handoff_v1 不能写成 Isaac domain randomization 已完成，也不能写成真实 WidowX 迁移成功或失败。,最后切到视频证据和答辩展示方式，说明如何复现和抽查。
9,视频证据、cue sheet 和可视化演示,答辩展示层,45-60 秒,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target playlist",docs/defense_video_playlist.html；docs/defense_video_cue_sheet.md；docs/video_evidence_index.md；outputs/presentation_clips/00_defense_video_reel.mp4；docs/video_evidence_index.csv；docs/video_quality_audit.csv；docs/final_artifact_manifest.json,答辩视频播放单和 cue sheet 已登记 37 个展示条目，覆盖成功样例、失败负例、阶段短片和候选诊断。,这一段说明所有视频都有对应文件、打开命令、讲解提示和论文红线。答辩时可以先播放总览短片，再按老师追问打开具体方法、claim 或 candidate 的片段。,视频只作为定性展示证据，不替代成功率、目标距离、语言泛化、资源规模和 domain randomization 表。,收束到最终结论和下一阶段真实 VLA/Isaac/机械臂实验。
10,最终结论和下一阶段计划,OpenVLA / Isaac / 真实 WidowX 后续,60 秒,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target handoff",docs/final_showcase_handoff.md；docs/next_experiment_registry.md；data/vla_bridge/openvla_dataset_bridge_v1/preview_grid.png；docs/openvla_dataset_bridge_report.md；outputs/evaluations/openvla_dataset_bridge_v1.json；docs/openvla_feasibility_report.md；docs/robot_vla_action_head_handoff.md；outputs/evaluations/robot_vla_action_head_handoff_v1.json；docs/robot_vla_remote_run_pack.md；outputs/evaluations/robot_vla_remote_run_pack_v1.json；docs/robot_vla_remote_result_intake.md；outputs/evaluations/robot_vla_remote_result_intake_v1.json；outputs/presentation_clips/00_defense_video_reel.mp4；docs/method_evidence_gate.csv；docs/stage_reproduction_runbook.csv；docs/research_question_showcase_plan.csv；docs/final_artifact_manifest.json；docs/external_dependency_readiness_audit.md；docs/external_dependency_readiness_audit.csv；docs/real_widowx_validation_handoff.md；outputs/evaluations/real_widowx_validation_handoff_v1.json；outputs/real_robot/real_widowx_validation_v1_trial_template.csv,当前结论可以支撑 MuJoCo 阶段的对照实验、失败分析和展示材料；下一步应按 readiness 文档补真实 VLA、Isaac 和 WidowX 结果。,最后总结：本阶段已经把轻量化 VLA 后训练路线拆成可复现任务、普通 baseline、trajectory/ACT baseline、action-head/PEFT proxy、语言泛化、数据效率和 domain randomization 代理评测。下一阶段不是推翻现有工作，而是在同一登记和评测格式上补真实外部实验。,不能把 readiness、handoff、remote pack 或数据桥接写成已经完成的真实实验结果；新增结果必须先回填 CSV/JSON/视频再进入正式结论。,答辩结束后按 next_experiment_registry 继续推进真实 VLA、Isaac 或 WidowX 其中一条线。
