视频类型,版本,方法,阶段,任务,复杂度,seed,指令,活动物体,结果,目标距离,末端到物体距离,物体高度,抓取标志,帧数,fps,时长,视频文件,元数据文件,证据用途,论文红线
主任务固定片段,expert_scripted_v1,Scripted Expert,scripted_oracle,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0056,-,0.0249,-,238,24,9.9s,outputs/videos/expert_scripted_v1_seed0.mp4,outputs/videos/expert_scripted_v1_seed0.json,成功样例,不能写成 learned policy 或 VLA 泛化能力
主任务固定片段,structured_waypoint_policy_v1,Structured Waypoint Policy,structured_control_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0056,0.1811,0.0249,False,238,24,9.9s,outputs/videos/structured_waypoint_policy_v1_seed0.mp4,outputs/videos/structured_waypoint_policy_v1_seed0.json,成功样例,不能写成 learned VLA 或语言泛化模型
主任务固定片段,replay_demo_v1,Replay,data_verification,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",replay 2840 steps,-,-,-,-,238,24,9.9s,outputs/videos/replay_demo_v1_seed0.mp4,outputs/videos/replay_demo_v1_seed0.json,数据可复现证据,不能作为策略学习方法对比
主任务固定片段,linear_bc_v1,Linear BC,weak_bc_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0893,0.3696,0.0249,False,238,24,9.9s,outputs/videos/linear_bc_v1_seed0.mp4,outputs/videos/linear_bc_v1_seed0.json,失败模式样例,不能用离线 MSE 替代闭环成功率
主任务固定片段,knn_bc_v1,kNN BC,non_neural_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0057,0.1811,0.0249,False,238,24,9.9s,outputs/videos/knn_bc_v1_seed0.mp4,outputs/videos/knn_bc_v1_seed0.json,成功样例,训练范围成功不能写成泛化能力
主任务固定片段,mlp_bc_v1,MLP BC,neural_bc_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.3205,0.3959,0.0249,False,238,24,9.9s,outputs/videos/mlp_bc_v1_seed0.mp4,outputs/videos/mlp_bc_v1_seed0.json,失败模式样例,不能写成序列策略或 VLA
主任务固定片段,act_lite_chunk_bc_v1,Action-Chunk BC / ACT-lite,trajectory_conditioned_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0832,0.1915,0.0249,False,238,24,9.9s,outputs/videos/act_lite_chunk_bc_v1_seed0.mp4,outputs/videos/act_lite_chunk_bc_v1_seed0.json,失败模式样例,不能写成完整 ACT
主任务固定片段,diffusion_policy_lite_v1,Diffusion Policy-lite,diffusion_policy_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0893,0.1825,0.0249,False,238,24,9.9s,outputs/videos/diffusion_policy_lite_v1_seed0.mp4,outputs/videos/diffusion_policy_lite_v1_seed0.json,失败模式样例,不能写成完整官方 Diffusion Policy
主任务固定片段,torch_diffusion_policy_state_chunk_v1,PyTorch State Diffusion Policy,torch_diffusion_policy_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0893,0.2360,0.0249,False,238,24,9.9s,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.mp4,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.json,失败模式样例,不能写成完整视觉 Diffusion Policy
主任务固定片段,trajectory_conditioned_chunk_bc_v2,Trajectory-Conditioned Action-Chunk BC / ACT-lite v2,trajectory_conditioned_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.1452,0.1536,0.0249,False,238,24,9.9s,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.mp4,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.json,失败模式样例,不能写成完整 ACT
主任务固定片段,trajectory_knn_chunk_bc_v1,Trajectory-kNN Action-Chunk BC,trajectory_memory_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0111,0.1780,0.0249,False,238,24,9.9s,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.mp4,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.json,成功样例,训练范围成功不能写成策略泛化
主任务固定片段,torch_act_state_chunk_v1,PyTorch State Transformer ACT,torch_act_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=True,0.0563,0.3053,0.0249,False,238,24,9.9s,outputs/videos/torch_act_state_chunk_v1_seed0.mp4,outputs/videos/torch_act_state_chunk_v1_seed0.json,成功样例,不能写成完整视觉 ACT
主任务固定片段,torch_act_state_chunk_cuda_v1,PyTorch State Transformer ACT CUDA,torch_act_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0736,0.2928,0.0249,False,238,24,9.9s,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.mp4,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.json,失败模式样例,不能写成完整视觉 ACT
主任务固定片段,phase_conditioned_torch_act_v1,Phase-Conditioned PyTorch State ACT,torch_act_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0893,0.1537,0.0249,False,238,24,9.9s,outputs/videos/phase_conditioned_torch_act_v1_seed0.mp4,outputs/videos/phase_conditioned_torch_act_v1_seed0.json,失败模式样例,不能写成完整视觉 ACT
主任务固定片段,torch_act_cvae_state_chunk_v1,PyTorch State ACT-CVAE-lite,torch_act_cvae_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0875,0.3146,0.0249,False,238,24,9.9s,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.mp4,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.json,失败模式样例,不能写成完整视觉 ACT 或机器人 ACT 复现
主任务固定片段,visual_feature_act_lite_v1,Visual-Feature ACT-lite,visual_feature_act_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0893,0.2279,0.0249,False,238,24,9.9s,outputs/videos/visual_feature_act_lite_v1_seed0.mp4,outputs/videos/visual_feature_act_lite_v1_seed0.json,失败模式样例,不能写成端到端 CNN/Transformer 视觉 ACT
主任务固定片段,visual_act_cnn_cvae_v1,Visual ACT-CNN-CVAE-lite,visual_act_cnn_cvae_baseline,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0893,0.2645,0.0249,False,238,24,9.9s,outputs/videos/visual_act_cnn_cvae_v1_seed0.mp4,outputs/videos/visual_act_cnn_cvae_v1_seed0.json,失败模式样例,不能写成官方完整 ACT 或真实机器人视觉 ACT 复现
主任务固定片段,object_language_action_head_lite_v1,Object-Language Action Head-lite,vla_action_head_proxy,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0893,0.2890,0.0249,False,238,24,9.9s,outputs/videos/object_language_action_head_lite_v1_seed0.mp4,outputs/videos/object_language_action_head_lite_v1_seed0.json,失败模式样例,不能写成 pretrained VLA 后训练
主任务固定片段,reward_weighted_action_head_lite_v1,Reward-Weighted Action Head-lite,reward_weighted_bc_post_training,place_blue_cube_blue_pad,medium,0,place the blue cube on the blue pad,"blue_cube, red_cylinder, yellow_cube",success=False,0.0893,0.4072,0.0249,False,238,24,9.9s,outputs/videos/reward_weighted_action_head_lite_v1_seed0.mp4,outputs/videos/reward_weighted_action_head_lite_v1_seed0.json,失败模式样例,不能写成在线 RL 或真实 preference optimization
