version,method,stage,artifact,artifact_size_mb,trainable_params,trainable_arrays,stored_samples,feature_dim,action_dim,history,horizon,diffusion_steps,train_mse,val_mse,train_time_seconds,peak_vram_mb,train_range_success,heldout_success,note
expert_scripted_v1,Scripted Expert,scripted_oracle,scripts/run_expert.py,0.006,0,,,,,,,,,,,,20/20,5/5,规则 expert，无学习参数，用作 oracle 和数据生成器。
structured_waypoint_policy_v1,Structured Waypoint Policy,structured_control_baseline,outputs/structured_waypoint_policy/structured_waypoint_policy_20260720_065456.npz,0.001,0,,,object_target_state,7,,,,,,,,5/5,4/5,结构化单次 waypoint 控制 baseline；使用目标物和目标区域状态，不是 learned VLA。
replay_demo_v1,Replay,data_verification,data/demos/place_blue_cube_blue_pad_medium_20260702_051752/episodes/episode_000000_seed_0.npz,0.775,0,,2840,,,,,,,,,,replay_success=True,not_applicable,示范轨迹回放，不是策略模型，用于验证数据可复现。
linear_bc_v1,Linear BC,weak_bc_baseline,outputs/bc/bc_linear_20260702_051909.npz,0.006,1015,weights,261280,144,7,,,,1.22095e-08,1.19056e-08,,,0/5,0/5,普通监督模仿学习 baseline。
knn_bc_v1,kNN BC,non_neural_baseline,outputs/knn_bc/knn_bc_20260702_051907.npz,14.980,0,,65320,144,7,,,,,,,,5/5,1/5,非参数检索 baseline；可训练参数为 0，但需要存储示范样本。
mlp_bc_v1,MLP BC,neural_bc_baseline,outputs/mlp_bc/mlp_bc_20260702_053322.npz,0.376,104711,"w0,b0,w1,b1,w2,b2",261280,144,7,,,,6.78314e-05,0.000363672,,,0/5,1/5,普通监督模仿学习 baseline。
act_lite_chunk_bc_v1,Action-Chunk BC / ACT-lite,trajectory_conditioned_baseline,outputs/chunk_bc/chunk_bc_20260702_072710.npz,0.421,117304,"w0,b0,w1,b1,w2,b2",261280,144,7,,8,,5.37383e-05,0.000216491,,,0/5,0/5,短动作块 MLP，作为轻量 ACT-style baseline。
diffusion_policy_lite_v1,Diffusion Policy-lite,diffusion_policy_baseline,outputs/diffusion_policy/diffusion_policy_lite_20260720_042215.npz,0.476,132408,"w0,b0,w1,b1,w2,b2",261280,144,7,,8,16,,,,,0/5,0/5,NumPy DDPM 风格动作块 baseline；不是官方完整 PyTorch Diffusion Policy。
torch_diffusion_policy_state_chunk_v1,PyTorch State Diffusion Policy,torch_diffusion_policy_baseline,outputs/torch_diffusion_policy/torch_diffusion_policy_state_chunk_20260720_101928.pt,0.732,183111,model_state,261280,144,7,8,8,16,0.19369,0.226931,10.262407499998517,72.12744140625,0/5,0/5,PyTorch state-only Diffusion Policy 动作块 baseline，使用历史状态条件和 DDPM 噪声预测；不是视觉 Diffusion Policy。diffusion_steps=16，device=cuda，peak_vram_mb=72.1274。
trajectory_conditioned_chunk_bc_v2,Trajectory-Conditioned Action-Chunk BC / ACT-lite v2,trajectory_conditioned_baseline,outputs/chunk_bc/trajectory_chunk_bc_20260720_043500.npz,1.350,375352,"w0,b0,w1,b1,w2,b2",261280,1152,7,8,8,,4.00148e-05,0.000468614,,,0/5,0/5,带历史观测的动作块 MLP，作为 ACT-lite/trajectory-conditioned baseline。
