编号,论文或答辩位置,类型,建议标题,证据文件,配套证据,中文图注/表注/讲解,可支撑结论,论文红线,打开命令
F01,第 4 章 主任务闭环结果,论文图,图 4-1 主任务 train-range 与 held-out 成功率,outputs/figures/main_task_success.svg,docs/evaluation_summary.csv；docs/method_evidence_gate.csv,对比 expert、结构化控制、普通 BC、trajectory/ACT、Diffusion 和 action-head proxy 在训练范围与留出范围的闭环成功率。,环境和任务可解，但多数 learned baseline 在留出范围缺乏稳定闭环能力。,不能只用离线 loss 或单个视频替代闭环成功率；当前结果是 MuJoCo，不是真实 WidowX。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\figures\main_task_success.svg"""
F02,第 4 章 语言/空间泛化,论文图,图 4-2 语言/空间泛化成功率,outputs/figures/language_success.svg,docs/language_generalization_summary.csv；docs/video_evidence_index.md,展示 leftmost-to-bowl 等语言/空间任务下，不同策略对目标描述变化的闭环表现。,当前语言/空间任务已经建立，规则或结构化策略可以作为 oracle，上层 learned proxy 尚未形成真实 VLA 语义泛化。,规则解析、对象特征或 frozen CLIP proxy 不能写成完整 VLM/VLA 语言理解能力。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\figures\language_success.svg"""
F03,第 4 章 资源与效果,论文图,图 4-3 参数量与 held-out 成功率,outputs/figures/resource_vs_success.svg,docs/model_resource_summary.csv；docs/method_comparison_dashboard.csv,把可训练参数、模型大小和 held-out 成功率放在同一张图中，说明轻量参数并不自动带来闭环泛化。,LoRA/Adapter/action-head proxy 的资源占用可对比，但当前仍是本地代理实验。,不能把本地图中的 Adapter/LoRA-style proxy 写成真实 OpenVLA LoRA 或 OpenVLA-OFT 结果。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\figures\resource_vs_success.svg"""
F04,第 4 章 数据效率,论文图,图 4-4 小规模 demonstration 数据效率曲线,outputs/figures/data_efficiency.svg,docs/data_efficiency_summary.csv；outputs/evaluations/data_efficiency_v2.json,比较 10/25/50/92 条 scripted demonstration 条件下的训练范围和留出范围表现。,小数据条件下，轨迹记忆类方法在训练范围更容易成功，留出范围仍明显不足。,不能把 MuJoCo scripted demonstration 结论直接写成真实机械臂数据效率或真实 VLA 小样本优势。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\figures\data_efficiency.svg"""
T01,附录 A 方法结果总表,论文表,表 A-1 正式方法版本结果、资源与视频证据,docs/thesis_method_comparison_table.csv,docs/thesis_appendix_tables.md；docs/method_comparison_dashboard.html,汇总 25 个正式方法版本的阶段分组、主任务、语言泛化、参数规模、视频数和论文红线。,可支撑普通 BC、trajectory-conditioned BC、ACT-style、Diffusion、action-head/PEFT proxy 的横向比较。,表中 proxy、state-only、lite、candidate 的边界必须保留，不能改写为完整官方方法或真实机器人结果。,"Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\thesis_method_comparison_table.csv"""
T02,附录 A Domain randomization,论文表,表 A-2 MuJoCo domain randomization 代理评测,docs/thesis_domain_randomization_table.csv,docs/domain_randomization_summary.md；outputs/evaluations/domain_randomization_eval_v1.json,汇总摩擦、执行器力限和夹爪力度扰动下的成功率与目标距离。,MuJoCo domain randomization 代理可作为 Isaac 和真实机械臂前的鲁棒性前置检查。,MuJoCo domain randomization 代理不能写成 Isaac domain randomization 已完成，也不能写成真实 WidowX 迁移验证。,"Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\thesis_domain_randomization_table.csv"""
H01,答辩现场 横向比较,HTML 看板,方法评测比较看板,docs/method_comparison_dashboard.html,docs/method_comparison_dashboard.md；docs/method_comparison_dashboard.csv,method_comparison_dashboard_v1：按阶段、成功率、参数、训练资源、固定视频和慢速 viewer 命令筛选 25 个正式方法。,用于现场解释不同阶段和不同方法之间的量化差异。,当前完成的是 MuJoCo 实验包；真实 OpenVLA、Isaac 和真实 WidowX 仍是后续阶段。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\method_comparison_dashboard.html"""
H02,答辩现场 视频播放,HTML 播放清单,答辩视频播放清单,docs/defense_video_playlist.html,docs/defense_video_playlist.md；docs/defense_video_playlist.csv,defense_video_playlist_v1：按 claim 顺序播放阶段短片，并附带候选诊断负例、讲稿提示、viewer 命令和导出命令。,用于现场展示仿真视频片段和每个 claim 的证据入口。,视频是定性展示证据，不替代成功率、目标距离、资源和泛化表。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\defense_video_playlist.html"""
H03,答辩现场 阶段讲解,HTML 索引,阶段展示总索引,docs/stage_showcase_index.html,docs/stage_showcase_index.md；docs/stage_reproduction_runbook.md,按阶段列出目标、方法版本、视频证据、量化表和 viewer 命令。,用于从任务/数据、普通 BC、trajectory/ACT、action-head、语言泛化和 domain randomization 逐段说明。,阶段索引只组织证据，不新增实验结论。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\stage_showcase_index.html"""
H04,第 5 章 后续 VLA 桥接,HTML/图像,OpenVLA 数据桥接样本浏览,docs/openvla_bridge_gallery.html,data/vla_bridge/openvla_dataset_bridge_v1/preview_grid.png；docs/openvla_dataset_bridge_report.md,展示 MuJoCo episode 已被整理成后续机器人 VLA/action-head 可读取的数据桥接样本。,证明后续接入 OpenVLA/机器人 VLA 的数据格式和交接门禁已经准备好。,bridge 样本不是 OpenVLA 训练结果，也不是真实机器人验证结果。,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\openvla_bridge_gallery.html"""
