编号,追问主题,适用阶段,可能问题,推荐回答,首选证据,首选图表或视频,现场打开命令,必须坚持的边界
Q01,任务设计,阶段 1,为什么用把蓝色方块放到蓝色盘子的任务，它是否太简单？,这是初级可视化任务，但不是无意义玩具任务；它包含颜色目标、干扰物体、接触、夹紧、抬升、移动和放置，能区分 expert、普通 BC、trajectory/ACT、action-head proxy 和 domain randomization 行为。,docs/task_bc_stage_report.md；docs/stage_showcase_index.md；docs/evaluation_summary.csv,outputs/presentation_clips/01_task_data_oracle.mp4,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\01_task_data_oracle.mp4""",不能把该任务写成真实生产场景，也不能只凭视频断言策略泛化。
Q02,数据可复现,阶段 1,你怎么证明采集的 demonstration 不是随机碰巧成功？,我保存了 success、seed、任务、物体位置和动作轨迹，并用 replay_demo_v1 回放验证相同轨迹可以复现执行过程。,docs/task_bc_stage_report.md；docs/method_evidence_gate.csv；data/demos/place_blue_cube_blue_pad_medium_20260702_051752,outputs/videos/replay_demo_v1_seed0.mp4,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target method:replay_demo_v1",Replay 只能证明数据可复现，不能写成 learned policy。
Q03,普通 BC 失败原因,阶段 2,为什么 linear/MLP BC 效果差，是不是只是速度太快或 viewer 参数不合适？,我已经统一慢速 viewer，并额外做了控制限幅扫表和严格抓取审计；失败主要体现在接触、夹紧、抬升和时序阶段结构，而不是单纯播放速度。,docs/task_bc_stage_report.md；docs/control_safety_sweep.md；docs/strict_grasp_success_audit.md,outputs/presentation_clips/02_basic_bc_baselines.mp4,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\02_basic_bc_baselines.mp4""",不能用离线 MSE 或短视频观感替代闭环成功率和 strict grasp 口径。
Q04,kNN 训练范围成功,阶段 2,kNN/trajectory-kNN 训练范围成功率高，是否说明普通方法已经足够？,不是。kNN 类方法在训练范围更像轨迹记忆，held-out、语言/空间泛化和严格抓取口径都暴露出不足。,docs/evaluation_summary.csv；docs/language_generalization_summary.csv；docs/method_comparison_dashboard.html,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.mp4,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target method:trajectory_knn_chunk_bc_v1 --action viewer --dry-run",训练范围成功不能写成策略泛化，也不能写成真实 grasp 已解决。
Q05,ACT 定位,阶段 3,你这里的 ACT 是不是官方完整 ACT？,不是。当前是本地轻量 ACT-style/state-only/ACT-CVAE/visual-feature baseline，用来做对照和失败诊断；它证明接口和评测链路建立了，但不能冒充完整官方视觉 ACT。,docs/trajectory_act_stage_report.md；docs/trajectory_act_experiment_record.md；docs/trajectory_act_failure_diagnosis.md,outputs/presentation_clips/03_trajectory_act_diffusion.mp4,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\03_trajectory_act_diffusion.mp4""",不能写成完整官方 ACT、完整视觉 ACT 或真实机器人 ACT 复现。
Q06,Diffusion Policy 定位,阶段 3,Diffusion Policy baseline 为什么也失败？,当前 diffusion 是 state/action-chunk 的轻量 baseline，数据规模小且接触阶段难；失败本身说明简单增加生成式动作模型并不能自动解决抓取和放置。,docs/trajectory_act_stage_report.md；docs/model_resource_summary.csv；docs/failure_mode_taxonomy.md,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.mp4,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target method:torch_diffusion_policy_state_chunk_v1",不能写成完整视觉 Diffusion Policy，也不能把失败视频当作所有 diffusion policy 的一般结论。
Q07,严格抓取口径,阶段 3/4,有些视频看起来放到盘子附近了，为什么你还说严格抓取成功是 0？,我把原始 success、grasp_success 和 object_z 分开审计；当前原始放置成功合计 14/53，但严格抓取成功为 0/53，所以不能把推到目标附近写成稳定抓取。,docs/strict_grasp_success_audit.md；docs/trajectory_act_failure_diagnosis.md；docs/candidate_diagnostic_video_index.md,outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.mp4,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target candidate:grasp_gated_torch_act_state_chunk_v1_candidate --action open-all",必须同时报告 success、grasp_success、object_z 和视频证据。
Q08,动作太快问题,阶段 3/4,你已经把动作放慢，为什么还是抓不住？,我做了 grasp-gated、慢速动作、夹爪增强和控制限幅诊断；这些候选负例说明失败不是单纯速度问题，还涉及阶段结构、接触状态和训练分布。,docs/control_safety_sweep.md；docs/grasp_gated_trajectory_act_report.md；docs/grasp_gated_trajectory_knn_report.md,outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.mp4,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target candidate:grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate --action viewer --dry-run",候选诊断不能登记为正式可靠 baseline；原始 success 不能替代 strict grasp。
Q09,Action-head/PEFT,阶段 4,Adapter/LoRA-style 是否已经证明轻量化 VLA 后训练有效？,只能说本地 action-head/PEFT proxy 的资源对比链路已经建立；参数量和训练时间可比较，但当前没有证明真实 pretrained VLA 后训练有效。,docs/action_head_stage_report.md；docs/model_resource_summary.csv；docs/method_comparison_dashboard.html,outputs/presentation_clips/04_action_head_peft_proxy.mp4,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\04_action_head_peft_proxy.mp4""",Adapter/LoRA-style 是本地 proxy，不是 OpenVLA LoRA；不能写成真实 pretrained VLA 后训练。
Q10,CLIP/VLM 表征,阶段 4/5,CLIP action head 是否说明模型理解语言了？,不能这样说。CLIP/frozen feature 只作为本地 VLM 表征 proxy；语言/空间评测已经建立，但当前 learned proxy 多数为 0/5，不能等同于真实 VLA 语言理解。,docs/language_generalization_summary.csv；docs/action_head_stage_report.md；docs/thesis_visual_evidence_index.html,outputs/presentation_clips/05_language_generalization.mp4,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\05_language_generalization.mp4""",规则解析、对象特征、语言 token 或 frozen CLIP 不能写成完整 VLM/VLA 语义泛化能力。
