version,stage,method,artifact,train_range_success,heldout_success,clip,note
expert_scripted_v1,scripted_oracle,Scripted Expert,scripts/run_expert.py,20/20,5/5,outputs/videos/expert_scripted_v1_seed0.mp4,可靠 oracle，用于生成示范数据。
structured_waypoint_policy_v1,structured_control_baseline,Structured Waypoint Policy,outputs/structured_waypoint_policy/structured_waypoint_policy_20260720_065456.npz,5/5,4/5,outputs/videos/structured_waypoint_policy_v1_seed0.mp4,单次执行的结构化 waypoint 控制策略，使用目标物和目标区域状态做阶段化控制；不是 learned VLA。
replay_demo_v1,data_verification,Replay,data/demos/place_blue_cube_blue_pad_medium_20260702_051752/episodes/episode_000000_seed_0.npz,replay_success=True,not_applicable,outputs/videos/replay_demo_v1_seed0.mp4,验证保存轨迹能复现 MuJoCo 执行过程。
linear_bc_v1,weak_bc_baseline,Linear BC,outputs/bc/bc_linear_20260702_051909.npz,0/5,0/5,outputs/videos/linear_bc_v1_seed0.mp4,失败 baseline，说明离线 MSE 不能代表闭环控制效果。
knn_bc_v1,non_neural_baseline,kNN BC,outputs/knn_bc/knn_bc_20260702_051907.npz,5/5,1/5,outputs/videos/knn_bc_v1_seed0.mp4,训练范围成功，泛化较弱。
mlp_bc_v1,neural_bc_baseline,MLP BC,outputs/mlp_bc/mlp_bc_20260702_053322.npz,0/5,1/5,outputs/videos/mlp_bc_v1_seed0.mp4,单步动作回归不足以稳定抓取。
act_lite_chunk_bc_v1,trajectory_conditioned_baseline,Action-Chunk BC / ACT-lite,outputs/chunk_bc/chunk_bc_20260702_072710.npz,0/5,0/5,outputs/videos/act_lite_chunk_bc_v1_seed0.mp4,短动作块仍不足，需要完整 ACT 或 Diffusion Policy。
diffusion_policy_lite_v1,diffusion_policy_baseline,Diffusion Policy-lite,outputs/diffusion_policy/diffusion_policy_lite_20260720_042215.npz,0/5,0/5,outputs/videos/diffusion_policy_lite_v1_seed0.mp4,NumPy DDPM 风格动作块 baseline，不是完整官方 PyTorch Diffusion Policy。
torch_diffusion_policy_state_chunk_v1,torch_diffusion_policy_baseline,PyTorch State Diffusion Policy,outputs/torch_diffusion_policy/torch_diffusion_policy_state_chunk_20260720_101928.pt,0/5,0/5,outputs/videos/torch_diffusion_policy_state_chunk_v1_seed0.mp4,PyTorch state-only conditional diffusion action-chunk baseline，使用 8 帧历史状态、8 步动作块、16 步 DDPM 训练和 4 步 DDIM 快速采样；不是完整视觉 Diffusion Policy。
trajectory_conditioned_chunk_bc_v2,trajectory_conditioned_baseline,Trajectory-Conditioned Action-Chunk BC / ACT-lite v2,outputs/chunk_bc/trajectory_chunk_bc_20260720_043500.npz,0/5,0/5,outputs/videos/trajectory_conditioned_chunk_bc_v2_seed0.mp4,输入最近 8 帧观测历史并输出 8 步动作块；动作更平滑，但仍未形成稳定夹取。
trajectory_knn_chunk_bc_v1,trajectory_memory_baseline,Trajectory-kNN Action-Chunk BC,outputs/trajectory_knn_bc/trajectory_knn_chunk_bc_20260720_053423.npz,5/5,0/5,outputs/videos/trajectory_knn_chunk_bc_v1_seed0.mp4,使用最近 8 帧观测历史检索示范动作块；训练范围可成功，但留出范围失败，说明仍是轨迹记忆型 baseline。
torch_act_state_chunk_v1,torch_act_baseline,PyTorch State Transformer ACT,outputs/torch_act/torch_act_state_chunk_20260720_055409.pt,1/5,0/5,outputs/videos/torch_act_state_chunk_v1_seed0.mp4,PyTorch Transformer encoder/decoder 动作块模型，输入 8 帧状态历史并输出 8 步动作块；训练范围 seed0 成功，但总体仍不稳定。
torch_act_state_chunk_cuda_v1,torch_act_baseline,PyTorch State Transformer ACT CUDA,outputs/torch_act/torch_act_state_chunk_cuda_20260720_095442.pt,0/5,1/5,outputs/videos/torch_act_state_chunk_cuda_v1_seed0.mp4,同结构的 state-only PyTorch ACT 在 CUDA Torch 2.6.0+cu124 下训练；训练时间约 17.46s，峰值显存约 71.27MB。该版本用于资源/运行环境对照，不代表策略效果提升。
phase_conditioned_torch_act_v1,torch_act_baseline,Phase-Conditioned PyTorch State ACT,outputs/torch_act/phase_conditioned_torch_act_20260720_132228.pt,0/5,0/5,outputs/videos/phase_conditioned_torch_act_v1_seed0.mp4,在 state-only PyTorch ACT 的 8 帧历史状态上追加 approach/grasp/lift/transfer/place-release 阶段 one-hot；离线误差正常但闭环仍失败，说明显式阶段条件本身不能解决接触、夹紧和抬升。
torch_act_cvae_state_chunk_v1,torch_act_cvae_baseline,PyTorch State ACT-CVAE-lite,outputs/torch_act_cvae/torch_act_cvae_state_chunk_20260720_084842.pt,0/5,0/5,outputs/videos/torch_act_cvae_state_chunk_v1_seed0.mp4,State-only Transformer ACT 加入 CVAE latent；离线 zero-latent 误差下降，但闭环仍没有稳定抬升，说明更接近正式 ACT 的结构仍不足。
visual_feature_act_lite_v1,visual_feature_act_baseline,Visual-Feature ACT-lite,outputs/visual_feature_act/visual_feature_act_lite_20260720_091256.pt,0/5,0/5,outputs/videos/visual_feature_act_lite_v1_seed0.mp4,使用 MuJoCo 离线重渲染 RGB pooled features、语言 token 和本体状态训练 Transformer ACT 动作块；不是完整 CNN 视觉 ACT，闭环仍未稳定抬升。
visual_act_cnn_cvae_v1,visual_act_cnn_cvae_baseline,Visual ACT-CNN-CVAE-lite,outputs/visual_act_cnn_cvae/visual_act_cnn_cvae_20260720_115104.pt,0/5,0/5,outputs/videos/visual_act_cnn_cvae_v1_seed0.mp4,使用小型 CNN 编码 MuJoCo RGB、拼接语言 token 和本体状态，再训练 Transformer ACT-CVAE 动作块；比 pooled RGB 代理更接近视觉 ACT，但仍不是官方完整 ACT，闭环仍未稳定抬升。
object_language_action_head_lite_v1,vla_action_head_proxy,Object-Language Action Head-lite,outputs/object_action_head/object_action_head_lite_20260720_044703.npz,1/5,0/5,outputs/videos/object_language_action_head_lite_v1_seed0.mp4,冻结符号对象/目标特征加轻量 MLP action head；这是本地可复现的 VLA action-head 代理基线，不是 pretrained VLM/VLA。
reward_weighted_action_head_lite_v1,reward_weighted_bc_post_training,Reward-Weighted Action Head-lite,outputs/reward_weighted_action_head/reward_weighted_action_head_lite_20260720_080912.npz,0/5,0/5,outputs/videos/reward_weighted_action_head_lite_v1_seed0.mp4,在 object-language action-head 特征上使用 attempt 偏好和 dense shaping 权重训练；这是 reward-weighted BC 后训练代理，不是在线 RL。
phase_conditioned_action_head_lite_v1,phase_conditioned_action_head_proxy,Phase-Conditioned Action Head-lite,outputs/phase_action_head/phase_conditioned_action_head_lite_20260720_082827.npz,0/5,1/5,outputs/videos/phase_conditioned_action_head_lite_v1_seed0.mp4,将 object-language action-head 拆成 approach、grasp、lift、transfer、place/release 五个阶段头；离线误差下降但闭环仍不稳定，说明显式阶段条件本身仍不足。
adapter_action_head_lite_v1,peft_action_head_proxy,Adapter Action Head-lite,outputs/peft_action_head/adapter_action_head_lite_20260720_072914.npz,0/5,1/5,outputs/videos/adapter_action_head_lite_v1_seed0.mp4,冻结 object-language action-head 主干，仅训练约 2.1k 参数的 Adapter 残差模块；这是本地 PEFT 代理实验，不是 pretrained VLA Adapter。
