顺序,时间,环节,打开内容,执行命令,讲解重点,论文红线
0,开场前 2 分钟,环境和入口检查,验证脚本、quick/candidate 列表、dashboard/deck、readiness audit,"$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""; & ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\verify_experiment_artifacts.py""
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --list quick
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --list candidates
Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\experiment_dashboard.html""
Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\defense_deck.html""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\external_dependency_readiness_audit.md""",确认所有登记方法、视频、阶段报告、candidate 诊断、外部依赖 readiness 和中文文档都通过验证。,验证脚本通过只证明当前 MuJoCo 实验包完整，不证明真实 OpenVLA、Isaac 或真实 WidowX 已完成。
1,0-1 分钟,总览开场,答辩 deck、总览 reel、final package,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\defense_deck.html""
Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\00_defense_video_reel.mp4""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\final_experiment_package.md""",先说明研究问题、MuJoCo WidowX 桌面任务、25 个正式方法版本和视频证据链。,总览视频是定性展示，不能替代成功率、目标距离、资源和语言泛化表。
2,1-3 分钟,任务、数据和普通 BC,阶段 1/2 短片、任务 BC 阶段报告,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\01_task_data_oracle.mp4""
Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\02_basic_bc_baselines.mp4""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\task_bc_stage_report.md""",证明 expert、replay 和 structured waypoint 建立了可复现任务；Linear/MLP BC 失败，kNN 主要是训练范围记忆。,expert、replay 和 structured waypoint 不是 learned VLA；普通 BC 不能写成语言理解或 VLA 后训练。
3,3-5 分钟,Trajectory / ACT / Diffusion,阶段 3 短片、trajectory/ACT 报告、中文实验台账,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\03_trajectory_act_diffusion.mp4""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\trajectory_act_stage_report.md""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\trajectory_act_experiment_record.md""",说明历史观测、动作块、Transformer、CVAE、视觉 ACT-lite 和 diffusion baseline 都已建立，但闭环接触和抬升仍不稳定。,当前是本地轻量 baseline 或代理实现，不能写成完整官方 ACT、完整视觉 Diffusion Policy 或稳定抓取成功。
4,5-6 分钟,严格抓取口径,strict grasp audit、候选诊断总览、候选诊断索引、候选 viewer dry-run,"Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\strict_grasp_success_audit.md""
Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\07_candidate_diagnostics.mp4""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\candidate_diagnostic_video_index.md""
$env:VLA_TORCH_PACKAGE_DIR=""D:\vla_torch_cuda_pkgs""; & ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target candidate:grasp_gated_torch_act_state_chunk_v1_candidate --action viewer --dry-run",先播放候选诊断总览，再把原始放置 success、grasp_success 和 object_z 分开，说明为什么某些 success=True 不能算稳定抓取。,候选诊断总览只说明失败模式和局部现象；不能把目标距离达标或物体被推到盘子附近写成稳定抓取放置。
5,6-8 分钟,Action-head / PEFT / CLIP proxy,阶段 4 短片、action-head 报告、资源表,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\04_action_head_peft_proxy.mp4""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\action_head_stage_report.md""
Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\model_resource_summary.csv""",说明本地 action head、reward-weighted BC、Adapter、LoRA-style 和 CLIP proxy 有资源对照，但不是 pretrained robot VLA 后训练。,Adapter/LoRA-style 是本地 action-head proxy，不是 OpenVLA LoRA；CLIP 也不是机器人 VLA。
6,8-10 分钟,语言/空间泛化与数据效率,语言短片、语言宫格、数据效率图,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\05_language_generalization.mp4""
Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\showcase\language_generalization_grid.mp4""
Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\figures\data_efficiency.svg""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\research_question_showcase_plan.md""",展示 leftmost-to-bowl 任务和小数据曲线，强调规则/结构化可解，但 learned proxy 还没有可靠语言泛化。,不能把 MuJoCo scripted demonstration 的小数据结论直接写成真实机械臂数据效率或真实 VLA 小数据优势。
7,10-12 分钟,Domain randomization 与后续真实验证,阶段 6 短片、domain randomization 报告、readiness audit、Isaac/真实 WidowX handoff,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\06_domain_randomization_proxy.mp4""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\domain_randomization_summary.md""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\external_dependency_readiness_audit.md""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\isaac_domain_randomization_handoff.md""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\real_widowx_validation_handoff.md""",说明 MuJoCo 扰动域是 Isaac/真实机器人前置检查，readiness audit 已固定阻塞条件、回填字段和 trial 模板。,readiness audit 不是策略成功率结果；不能写成 Isaac domain randomization 已完成，也不能写成真实 WidowX 迁移验证已完成。
8,12-14 分钟,OpenVLA / 机器人 VLA 后续入口,OpenVLA bridge 预览、handoff、remote run pack、result intake、readiness audit,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\data\vla_bridge\openvla_dataset_bridge_v1\preview_grid.png""
Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\openvla_bridge_gallery.html""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\robot_vla_action_head_handoff.md""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\robot_vla_remote_run_pack.md""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\robot_vla_remote_result_intake.md""
Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\external_dependency_readiness_audit.md""",收束到毕业设计主线：当前 MuJoCo 对照组和数据桥接已完成，下一阶段按 readiness 门禁接真实 robot VLA 表征 + action head/Adapter/LoRA。,不能写成 OpenVLA LoRA、RT-2、robot_vla_action_head_lite_v1 训练结果已经完成；planned 版本必须先回填真实评测、资源、视频和报告。
9,追问时,现场追问快速入口,showcase launcher、stage/method/candidate viewer,"& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target claim:C03
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target method:trajectory_knn_chunk_bc_v1 --action viewer --dry-run
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target candidate:grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate --action open-all
& ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\.venv\Scripts\python.exe"" ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\scripts\showcase_launcher.py"" --target candidate:grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate --action viewer",评委追问某个方法时，用 method/candidate 入口打开固定视频、报告、元数据或慢速 MuJoCo viewer。,现场 viewer 是可视化复现入口，不改变已登记成功率；所有结论仍以 CSV/JSON 和固定视频审计为准。
