claim_id,claim_type,primary_video,playback_command,helper_commands,quantitative_reference,talk_prompt,paper_redline,evidence_status,missing_evidence
C01,任务与数据链路,outputs/presentation_clips/01_task_data_oracle.mp4,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\01_task_data_oracle.mp4""","Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\stage_showcase_index.html""；Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\stage_reproduction_runbook.md""",docs/evaluation_summary.csv；docs/task_bc_stage_report.md；docs/method_evidence_gate.md,先证明环境和数据可复现，再说明 expert、structured waypoint 和 replay 不是 learned policy。,expert、structured waypoint 和 replay 不能写成 learned VLA 或真实机器人验证。,可播放（有证据）,无
C02,普通 BC 对照,outputs/presentation_clips/02_basic_bc_baselines.mp4,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\02_basic_bc_baselines.mp4""","Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\video_evidence_gallery.html""；Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\reproducible_command_index.md""",docs/evaluation_summary.csv；docs/task_bc_stage_report.md；docs/failure_mode_taxonomy.md,播放普通 BC 失败和 kNN 轨迹记忆差异，强调简单 BC 对接触、抬升和放置不稳定。,普通 BC 不能写成语言理解、任务泛化或 VLA 后训练结果。,可播放（有证据）,无
C03,Trajectory / ACT / Diffusion 对照,outputs/presentation_clips/03_trajectory_act_diffusion.mp4,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\03_trajectory_act_diffusion.mp4""","Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\stage_reproduction_runbook.md""；Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\failure_mode_taxonomy.md""",docs/trajectory_act_stage_report.md；docs/trajectory_act_stage_report.csv；docs/model_resource_summary.csv,展示 trajectory-conditioned BC / ACT-style / Diffusion 对照，说明历史观测和动作块接口已建立，但不能写成完整官方 ACT。,当前是 state-only、pooled visual feature 或小型 CNN 的本地轻量 baseline，不能写成完整官方视觉 ACT 或完整视觉 Diffusion Policy。,可播放（有证据）,无
C04,Action-head / PEFT proxy,outputs/presentation_clips/04_action_head_peft_proxy.mp4,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\04_action_head_peft_proxy.mp4""","Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\method_evidence_gate.md""；Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\research_question_showcase_plan.md""",docs/action_head_stage_report.md；docs/action_head_stage_report.csv；docs/model_resource_summary.csv；docs/data_efficiency_summary.csv,展示 action-head、Adapter、LoRA-style 和 CLIP proxy，强调资源可比但不是真实 pretrained VLA 后训练。,Adapter/LoRA-style 是本地 action-head proxy，不是 OpenVLA LoRA；CLIP 不是机器人 VLA；不能写成真实 pretrained VLA 后训练。,可播放（有证据）,无
C05,语言/空间泛化,outputs/presentation_clips/05_language_generalization.mp4,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\05_language_generalization.mp4""","Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\video_presentation_storyboard.html""；Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\video_evidence_gallery.html""",docs/language_generalization_summary.csv；docs/video_evidence_index.md；docs/failure_mode_taxonomy.md,展示 leftmost-to-bowl 语言/空间任务，强调规则或 frozen feature proxy 不能等同于真实 VLA 语言理解。,规则解析、对象特征、语言 token 或 frozen CLIP action head 不能写成完整 VLM/VLA 语义泛化能力。,可播放（有证据）,无
C06,数据效率,outputs/presentation_clips/02_basic_bc_baselines.mp4,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\02_basic_bc_baselines.mp4""","Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\research_question_showcase_plan.md""；Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\experiment_dashboard.html""",docs/data_efficiency_summary.md；docs/data_efficiency_summary.csv；outputs/evaluations/data_efficiency_v2.json；outputs/figures/data_efficiency.svg,图表为主，视频作为普通 BC 和 action-head 小数据行为的辅助定性证据。,不能把 MuJoCo scripted demonstration 的小数据结论直接写成真实机械臂数据效率或真实 VLA 小数据优势。,可播放（有证据）,无
C07,MuJoCo domain randomization 代理,outputs/presentation_clips/06_domain_randomization_proxy.mp4,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\06_domain_randomization_proxy.mp4""","Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\research_question_showcase_plan.md""；Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\isaac_domain_randomization_handoff.md""；Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\video_evidence_gallery.html""",docs/domain_randomization_summary.md；docs/domain_randomization_summary.csv；outputs/evaluations/domain_randomization_eval_v1.json；docs/isaac_domain_randomization_handoff.md；outputs/evaluations/isaac_domain_randomization_handoff_v1.json,展示低摩擦和弱夹爪 domain randomization 代理，再打开 Isaac handoff，强调这是 MuJoCo 鲁棒性前置检查和后续 Isaac 回填入口。,MuJoCo domain randomization 和 isaac_domain_randomization_handoff_v1 不能写成 Isaac domain randomization 已完成，也不能写成真实 WidowX 迁移成功或失败。,可播放（有证据）,无
C08,视频展示证据,outputs/presentation_clips/00_defense_video_reel.mp4,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\00_defense_video_reel.mp4""","Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\video_evidence_gallery.html""；Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\video_presentation_storyboard.html""",docs/video_evidence_index.csv；docs/video_quality_audit.csv；docs/final_artifact_manifest.json,播放总览 reel 或宫格，说明视频是定性证据，不能替代成功率、距离、资源和泛化表。,视频只作为定性展示证据，不替代成功率、目标距离、语言泛化、资源规模和 domain randomization 表。,可播放（有证据）,无
C09,OpenVLA 前置工作,data/vla_bridge/openvla_dataset_bridge_v1/preview_grid.png,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\data\vla_bridge\openvla_dataset_bridge_v1\preview_grid.png""","Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\openvla_bridge_gallery.html""；Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\robot_vla_action_head_handoff.md""；Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\robot_vla_remote_run_pack.md""；Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\robot_vla_remote_result_intake.md""；Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\next_experiment_registry.md""",docs/openvla_dataset_bridge_report.md；outputs/evaluations/openvla_dataset_bridge_v1.json；docs/openvla_feasibility_report.md；docs/robot_vla_action_head_handoff.md；outputs/evaluations/robot_vla_action_head_handoff_v1.json；docs/robot_vla_remote_run_pack.md；outputs/evaluations/robot_vla_remote_run_pack_v1.json；docs/robot_vla_remote_result_intake.md；outputs/evaluations/robot_vla_remote_result_intake_v1.json,打开 OpenVLA bridge 预览图、gallery、handoff 门禁、remote run pack 和 result intake，强调数据桥接、远端运行契约、运行包和回填门禁都不是策略训练结果。,不能写成 OpenVLA LoRA、RT-2、robot_vla_action_head_lite_v1、Isaac 或真实 WidowX 验证已经完成。,可播放（有证据）,无
C10,方法与阶段统一追踪,outputs/presentation_clips/00_defense_video_reel.mp4,"Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\outputs\presentation_clips\00_defense_video_reel.mp4""","Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\final_experiment_package.md""；Start-Process ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\stage_showcase_index.html""；Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\external_dependency_readiness_audit.md""；Start-Process notepad.exe ""C:\Users\Administrator\Desktop\final project-robot ic\vla_robot_grasping\docs\real_widowx_validation_handoff.md""",docs/method_evidence_gate.csv；docs/stage_reproduction_runbook.csv；docs/research_question_showcase_plan.csv；docs/final_artifact_manifest.json；docs/external_dependency_readiness_audit.md；docs/external_dependency_readiness_audit.csv；docs/real_widowx_validation_handoff.md；outputs/evaluations/real_widowx_validation_handoff_v1.json；outputs/real_robot/real_widowx_validation_v1_trial_template.csv,播放总览 reel，展示方法、阶段、研究问题和 claim 的整体证据链，再打开真实 WidowX handoff 说明后续 trial 模板。,当前完成的是 MuJoCo 实验包；external_dependency_readiness_audit_v1 不是策略成功率结果；真实 OpenVLA、Isaac 和真实 WidowX trial 仍必须作为后续阶段单独登记、评测和保存视频，handoff 不能写成真实验证结果。,可播放（有证据）,无
