version,category,status,depends_on,stage_to_register,method_name,primary_artifact,evaluation_required,resource_required,video_outputs,success_gate,paper_boundary
openvla_dataset_bridge_v1,vla_data_bridge,completed_prerequisite,demo_place_blue_cube_blue_pad_v1,data_bridge,OpenVLA dataset bridge,data/vla_bridge/openvla_dataset_bridge_v1/samples.jsonl,not_applicable；不是策略模型,samples_exported；image_size；episode_count,docs/openvla_bridge_gallery.html；data/vla_bridge/openvla_dataset_bridge_v1/preview_grid.png,至少 60 条 image + instruction + state + action 样本；manifest 和 gallery 均存在,只能写成数据格式桥接，不能写成 OpenVLA LoRA 或真实机器人 VLA 后训练完成
openvla_feasibility_check_v1,runtime_feasibility,completed_prerequisite,openvla_dataset_bridge_v1,environment_audit,OpenVLA local feasibility check,outputs/evaluations/openvla_feasibility_check_v1.json,gpu_memory_gb；missing_packages；local_model_cache；verdict,torch_cuda_available；gpu_name；gpu_memory_gb,not_applicable,记录 GPU、依赖、OpenVLA cache 和 bridge sample 数，并给出是否适合本地训练的 verdict,只能写成本地可行性审计，不能写成真实 OpenVLA 训练结果
robot_vla_action_head_handoff_v1,robot_vla_handoff_gate,completed_prerequisite,openvla_dataset_bridge_v1；openvla_feasibility_check_v1,robot_vla_action_head_handoff,Robot VLA action-head handoff gate,docs/robot_vla_action_head_handoff.md；outputs/evaluations/robot_vla_action_head_handoff_v1.json,not_applicable；不是策略模型,bridge_samples；gpu_memory_gb；remote_runtime_gate；output_contract,not_applicable,明确真实 robot VLA action-head 的输入契约、远端运行门槛、输出契约、入包门禁和论文红线,只能写成真实 robot VLA action-head 运行交接门禁，不能写成 robot_vla_action_head_lite_v1、OpenVLA LoRA 或 OpenVLA-OFT 已完成
robot_vla_remote_run_pack_v1,robot_vla_remote_run_pack,completed_prerequisite,openvla_dataset_bridge_v1；openvla_feasibility_check_v1；robot_vla_action_head_handoff_v1,robot_vla_remote_run_pack,Robot VLA remote run pack,docs/robot_vla_remote_run_pack.md；outputs/evaluations/robot_vla_remote_run_pack_v1.json；outputs/robot_vla_remote_run_pack/robot_vla_remote_run_pack_v1.zip,not_applicable；不是策略模型,bridge_samples；remote_result_schema；required_remote_return_files；archive_path,not_applicable,打包 bridge 数据、handoff 文档、远端命令模板、结果回填 schema 和 zip 归档，供 48GB+ GPU 或云端继续执行,只能写成真实 robot VLA action-head 的远端运行包，不能写成 robot_vla_action_head_lite_v1、OpenVLA LoRA 或 OpenVLA-OFT 已完成
robot_vla_remote_result_intake_v1,robot_vla_result_intake_gate,completed_prerequisite,robot_vla_remote_run_pack_v1,robot_vla_result_intake,Robot VLA remote result intake gate,docs/robot_vla_remote_result_intake.md；docs/robot_vla_remote_result_intake.csv；outputs/evaluations/robot_vla_remote_result_intake_v1.json,not_applicable；不是策略模型,returned_files_required；returned_files_present；can_register_completed_method；blocking_reasons,not_applicable,检查远端返回的模型、feature cache、评测 JSON、主任务视频、语言视频和报告是否足以进入正式方法包,只能写成真实 robot VLA action-head 的结果回填门禁，不能写成 robot_vla_action_head_lite_v1、OpenVLA LoRA 或 OpenVLA-OFT 已完成
trajectory_phase_template_bc_v1_candidate,trajectory_phase_template_diagnostic,completed_diagnostic,trajectory_conditioned_chunk_bc_v2；trajectory_act_failure_diagnosis_v1；candidate_diagnostic_video_index_v1,candidate_method_diagnosis,Phase-template trajectory-conditioned BC diagnostic candidate,outputs/trajectory_phase_template_bc/trajectory_phase_template_bc_20260720_160007.npz；docs/trajectory_phase_template_bc_report.md；outputs/evaluations/trajectory_phase_template_bc_v1.json,docs/trajectory_phase_template_bc_report.csv；outputs/evaluations/trajectory_phase_template_bc_v1.json,not_registered_as_formal_method；phase template + trajectory-conditioned action lookup,outputs/videos/trajectory_phase_template_bc_v1_candidate_seed1.mp4,已完成候选诊断：固定 seed1 放置 success=True，但 grasp_success=False、物体高度未抬升；train/held-out 只能写作候选诊断,只能作为 ACT/trajectory-conditioned 路线负例，不能写成可靠 ACT baseline、稳定抓取或真实 VLA 后训练结果
trajectory_prior_residual_bc_v1_candidate,trajectory_prior_residual_diagnostic,completed_diagnostic,trajectory_conditioned_chunk_bc_v2；structured_waypoint_policy_v1；strict_grasp_success_audit_v1,candidate_method_diagnosis,Trajectory-prior residual BC diagnostic candidate,outputs/trajectory_prior_residual_bc/trajectory_prior_residual_bc_v1_candidate_20260721_040050.npz；docs/trajectory_prior_residual_bc_report.md；outputs/evaluations/trajectory_prior_residual_bc_v1_candidate.json,docs/trajectory_prior_residual_bc_report.csv；outputs/evaluations/trajectory_prior_residual_bc_v1_candidate.json,not_registered_as_formal_method；structured trajectory prior + residual BC action head,outputs/videos/trajectory_prior_residual_bc_v1_candidate_seed0.mp4,已完成候选诊断：固定 seed0 放置 success=True 且 tcp_grasp_lift_success=True，但 grasp_success=False、strict_grasp_lift_success=False；不能升级为纯 learned policy,只能作为 trajectory-conditioned BC / ACT 路线的结构化先验诊断候选，不能写成纯 BC、完整官方 ACT、OpenVLA/OFT 或真实 WidowX 结果
timing_aware_trajectory_prior_residual_bc_v1_candidate,timing_aware_trajectory_prior_residual_diagnostic,completed_diagnostic,trajectory_prior_residual_bc_v1_candidate；gripper_timing_contact_probe_v1_candidate；strict_grasp_success_audit_v1,candidate_method_diagnosis,Timing-aware trajectory-prior residual BC diagnostic candidate,outputs/timing_aware_trajectory_prior_residual_bc/timing_aware_trajectory_prior_residual_bc_v1_candidate_20260721_070442.npz；docs/timing_aware_trajectory_prior_residual_bc_report.md；outputs/evaluations/timing_aware_trajectory_prior_residual_bc_v1_candidate.json,docs/timing_aware_trajectory_prior_residual_bc_report.csv；outputs/evaluations/timing_aware_trajectory_prior_residual_bc_v1_candidate.json,not_registered_as_formal_method；timing-aware trajectory prior residual；scale sweep documented,outputs/videos/timing_aware_trajectory_prior_residual_bc_v1_candidate_seed0.mp4,已完成候选诊断：scale sweep 记录 10 行，固定 seed0 有局部目标距离/接触迹象，但严格抓取仍未达标,只能写成 timing-aware residual 控制诊断，不能写成完整 ACT、稳定 learned grasp、OpenVLA/OFT 或真实 WidowX 结果
preference_trajectory_post_training_v1_candidate,post_training_negative_control,completed_diagnostic,trajectory_knn_chunk_bc_v1；candidate_diagnostic_video_index_v1,candidate_method_diagnosis,Preference-weighted trajectory-kNN diagnostic candidate,outputs/preference_post_training/preference_trajectory_post_training_20260720_165005.npz,docs/preference_trajectory_post_training_report.csv；outputs/evaluations/preference_trajectory_post_training_v1.json,not_registered_as_formal_method；inherits trajectory-kNN memory table size,outputs/videos/preference_trajectory_post_training_v1_candidate_seed0.mp4,已完成负例诊断：train-range 5/5、held-out 0/5、grasp_successes=0，必须同时报告抓取失败,只能写成偏好加权轨迹后训练候选负例，不能写成在线 RL、真实人类偏好优化或 OpenVLA 后训练成功
grasp_gated_trajectory_act_v1_candidate,trajectory_act_control_diagnostic,completed_diagnostic,trajectory_conditioned_chunk_bc_v2；torch_act_state_chunk_v1；candidate_diagnostic_video_index_v1；strict_grasp_success_audit_v1,candidate_method_diagnosis,Grasp-gated trajectory-conditioned BC / Torch ACT diagnostic,docs/grasp_gated_trajectory_act_report.md；outputs/evaluations/grasp_gated_trajectory_act_v1_candidate.json,docs/grasp_gated_trajectory_act_report.csv；docs/strict_grasp_success_audit.csv,not_registered_as_formal_method；reuses existing trajectory-conditioned chunk BC and Torch ACT models,outputs/videos/grasp_gated_trajectory_conditioned_chunk_bc_v1_candidate_seed0.mp4；outputs/videos/grasp_gated_torch_act_state_chunk_v1_candidate_seed0.mp4,已完成控制层负例诊断：trajectory 变体 train-range 原始放置 2/5、held-out 原始放置 1/5；Torch ACT 变体 train-range 0/5、held-out 1/5；两者 strict_grasp_lift_success=0/10,只能写成抓取门控和慢速动作诊断负例，不能写成 trajectory-conditioned BC 或 ACT 已稳定抓取，也不能写成新的正式学习方法
phase_weighted_torch_act_v1_candidate,trajectory_act_loss_diagnostic,completed_diagnostic,phase_conditioned_torch_act_v1；trajectory_act_failure_diagnosis_v1；candidate_diagnostic_video_index_v1,candidate_method_diagnosis,Phase-weighted Torch ACT diagnostic candidate,docs/phase_weighted_torch_act_report.md；outputs/evaluations/phase_weighted_torch_act_v1_candidate.json；outputs/torch_act/phase_weighted_torch_act_v1_candidate_20260720_225108.pt,docs/phase_weighted_torch_act_report.csv；outputs/evaluations/phase_weighted_torch_act_v1_candidate.json,trainable_params=178503；train_time_seconds=15.87；peak_vram_mb≈71；not_registered_as_formal_method,outputs/videos/phase_weighted_torch_act_v1_candidate_seed0.mp4,已完成负例诊断：train-range 0/5、held-out 0/5、ever_grasp_success=0/10、strict_grasp_lift_success=0/10,只能写成阶段加权 ACT 训练诊断负例，不能写成完整 ACT、稳定抓取成功或真实 VLA 后训练结果
